SongTitle,Title,PeakPos
Wishing,"DJ Drama Featuring Chris Brown, Skeme & Lyquin",77
Slow Hands,Niall Horan,11
Say You Won't Let Go,James Arthur,11
Extra Luv,Future Featuring YG,99
Perplexing Pegasus,Rae Sremmurd,84
Let Me Love You,DJ Snake Featuring Justin Bieber,4
Bom Bidi Bom,Nick Jonas & Nicki Minaj,54
Two,Lil Uzi Vert,80
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",54
Down,Marian Hill,42
"Sit Still, Look Pretty",Daya,28
Curve,Gucci Mane Featuring The Weeknd,67
Love On The Brain,Rihanna,5
Die For You,The Weeknd,43
New Rules,Dua Lipa,34
Make Me (Cry),Noah Cyrus Featuring Labrinth,46
In The End,Linkin Park,2
Shaky Shaky,Daddy Yankee,88
Can't Have Everything,Drake,82
To The Max,DJ Khaled Featuring Drake,53
Swang,Rae Sremmurd,26
Heavy Heart,Meek Mill,99
Do Not Disturb,Drake,60
Play That Song,Train,41
A Guy With A Girl,Blake Shelton,42
Starboy,The Weeknd Featuring Daft Punk,1
Party,Chris Brown Featuring Usher & Gucci Mane,40
Everyday We Lit,YFN Lucci Featuring PnB Rock,33
Neighbors,J. Cole,13
Skepta Interlude,Drake,76
I Know Somebody,LOCASH,52
Parachute,Chris Stapleton,78
Deja Vu,J. Cole,75
No Such Thing As A Broken Heart,Old Dominion,46
Move,Luke Bryan,50
All The Pretty Girls,Kenny Chesney,63
Go Flex,Post Malone,76
I Could Use A Love Song,Maren Morris,83
No Limit,Usher Featuring Young Thug,32
No Promises,Cheat Codes Featuring Demi Lovato,74
Undefeated,A Boogie Wit da Hoodie Featuring 21 Savage,84
Guys My Age,Hey Violet,68
There's Nothing Holdin' Me Back,Shawn Mendes,6
Gyalchester,Drake,29
True Colors,The Weeknd,48
The Night We Met,Lord Huron,84
Black Beatles,Rae Sremmurd Featuring Gucci Mane,1
The Dance,Lauren Duski,92
Praying,Kesha,22
Blow Your Mind (Mwah),Dua Lipa,72
Me And Your Mama,Childish Gambino,68
You Was Right,Lil Uzi Vert,40
Mi Gente,J Balvin & Willy William Featuring Beyonce,3
The Cure,Lady Gaga,39
Look What You Made Me Do,Taylor Swift,1
In The Name Of Love,Martin Garrix & Bebe Rexha,24
Versace On The Floor,Bruno Mars,33
Jerika,Jake Paul & Erika Costell Featuring Uncle Kade,86
Weak,AJR,73
UnFazed,Lil Uzi Vert Featuring The Weeknd,84
How Not To,Dan + Shay,57
The One,The Chainsmokers,78
Sacrifices,Drake Featuring 2 Chainz & Young Thug,70
Love Galore,SZA Featuring Travis Scott,32
Tunnel Vision,Kodak Black,6
No Fear,DeJ Loaf,100
Get Low,Zedd & Liam Payne,91
The Heart Part 4,Kendrick Lamar,22
Its Every Night Sis,RiceGum Featuring Alissa Violet,80
Don't Let Me Down,The Chainsmokers Featuring Daya,3
Dusk Till Dawn,Zayn Featuring Sia,44
Beauty And The Beast,Ariana Grande & John Legend,87
Good Old Days,Macklemore Featuring Kesha,70
Portland,Drake Featuring Quavo & Travis Scott,9
Teenage Fever,Drake,35
Something New,Wiz Khalifa Featuring Ty Dolla $ign,92
No Favors,Big Sean Featuring Eminem,22
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,73
HandClap,Fitz And The Tantrums,53
Sacrifices,Big Sean Featuring Migos,70
Way Down We Go,Kaleo,54
Lust.,Kendrick Lamar,42
Party Monster,The Weeknd,16
I'm Better,Missy Elliott Featuring Lamb,71
Speak To A Girl,Tim McGraw & Faith Hill,61
Hold Up,Beyonce,13
Friends,Justin Bieber + BloodPop,20
We Ball,Meek Mill Featuring Young Thug,96
Caroline,Amine,11
It's Everyday Bro,Jake Paul Featuring Team 10,94
Lockjaw,French Montana Featuring Kodak Black,73
Not Afraid Anymore,Halsey,77
Still Got Time,Zayn Featuring PARTYNEXTDOOR,66
KMT,Drake Featuring Giggs,48
Peek A Boo,Lil Yachty Featuring Migos,78
No Long Talk,Drake Featuring Giggs,40
Dirt On My Boots,Jon Pardi,37
Bad At Love,Halsey,31
The Story Of O.J.,JAY-Z,23
All We Know,The Chainsmokers Featuring Phoebe Ryan,18
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,4
Hymn For The Weekend,Coldplay,25
Heathens,twenty one pilots,2
Escapate Conmigo,Wisin Featuring Ozuna,63
Human,Rag'n'Bone Man,74
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,43
Hearts Don't Break Around Here,Ed Sheeran,93
Deja Vu,Post Malone Featuring Justin Bieber,75
Chained To The Rhythm,Katy Perry Featuring Skip Marley,4
Hurricane,Luke Combs,31
Don't Get Too High,Bryson Tiller,89
Starving,Hailee Steinfeld & Grey Featuring Zedd,12
My Girl,Dylan Scott,39
Broccoli,D.R.A.M. Featuring Lil Yachty,5
Slide,Calvin Harris Featuring Frank Ocean & Migos,25
Reminder,The Weeknd,31
Woman,Kesha Featuring The Dap-Kings Horns,96
Since Way Back,Drake Featuring PARTYNEXTDOOR,70
Barcelona,Ed Sheeran,96
80s Mercedes,Maren Morris,74
Make Love,Gucci Mane & Nicki Minaj,78
Real Hitta,Plies Featuring Kodak Black,100
Kelly Price,Migos Featuring Travis Scott,58
Sky Walker,Miguel Featuring Travis Scott,80
Running Back,Wale Featuring Lil Wayne,100
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,9
Caught Their Eyes,JAY-Z Featuring Frank Ocean,63
No Sleep Leak,Lil Uzi Vert,90
Capsize,Frenship & Emily Warren,78
First Day Out,Kodak Black,61
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",27
Eraser,Ed Sheeran,90
What's My Name,China Anne McClain,61
Goosebumps,Travis Scott,32
Heartache On The Dance Floor,Jon Pardi,47
Prblms,6LACK,72
Lose You,Drake,64
Black,Dierks Bentley,56
Nobody Else But You,Trey Songz,92
At Last,Sundance Head,89
On Everything,"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean",88
A-YO,Lady Gaga,66
Happier,Ed Sheeran,59
Litty,Meek Mill Featuring Tory Lanez,49
Father Stretch My Hands Pt. 1,Kanye West,37
Wanna Be That Song,Brett Eldredge,46
Carry On,XXXTentacion,95
Hallelujah,Leonard Cohen,59
All I Want For Christmas Is You,Mariah Carey,11
Every Time I Hear That Song,Blake Shelton,56
Look At Me!,XXXTentacion,34
Know No Better,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",87
Hate U Love U,Olivia O'Brien,99
Cake,Flo Rida & 99 Percent,73
Faith,George Michael,1
Everyday,Ariana Grande Featuring Future,55
Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",81
El Amante,Nicky Jam,92
How Far I'll Go,Alessia Cara,56
Location,Khalid,16
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",44
Met Gala,Gucci Mane Featuring Offset,88
Heatstroke,"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",96
It Don't Hurt Like It Used To,Billy Currington,44
Too Much To Ask,Niall Horan,66
F**k That Check Up,Meek Mill Featuring Lil Uzi Vert,97
Blue Notes,Meek Mill,93
Moonlight,JAY-Z,86
Everything 1K,Kodak Black,84
She's Mine Pt.1,J. Cole,22
My Old Man,Zac Brown Band,68
Bam,"JAY-Z Featuring Damian ""Jr. Gong"" Marely",47
A Lie,French Montana Featuring The Weeknd & Max B,75
I Hate U I Love U,gnash Featuring Olivia O'Brien,10
XO TOUR Llif3,Lil Uzi Vert,7
Song For Another Time,Old Dominion,59
How Long,Charlie Puth,52
Mercy,Shawn Mendes,15
Congratulations,Post Malone Featuring Quavo,8
Money Longer,Lil Uzi Vert,54
No Flockin,Kodak Black,95
Kids,OneRepublic,96
Unforgettable,Thomas Rhett,47
The Race,Tay-K,44
Zoom,Future,99
Six Feet Under,The Weeknd,34
Into You,Ariana Grande,13
Blood.,Kendrick Lamar,54
Chanel,Frank Ocean,72
Just Hold On,Steve Aoki & Louis Tomlinson,52
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3
We Know The Way,Opetaia Foa'i & Lin-Manuel Miranda,93
Strip That Down,Liam Payne Featuring Quavo,10
Key To The Streets,YFN Lucci Featuring Migos & Trouble,70
What They Want,Russ,83
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,9
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,38
Scars To Your Beautiful,Alessia Cara,8
Jorja Interlude,Drake,49
Roll In Peace,Kodak Black Featuring XXXTENTACION,53
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1
Slumber Party,Britney Spears Featuring Tinashe,86
Imitadora,Romeo Santos,91
New Man,Ed Sheeran,72
1 Night,Lil Yachty,49
Heroe Favorito,Romeo Santos,77
No Longer Friends,Bryson Tiller,98
THat Part,ScHoolboy Q Featuring Kanye West,40
Everybody Dies,J. Cole,57
Who Dat Boy,"Tyler, The Creator",87
Sign Of The Times,Harry Styles,4
Hard Times,Paramore,90
Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,51
Unsteady,X Ambassadors,20
All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,24
Say It,Flume Featuring Tove Lo,60
Somebody Else Will,Justin Moore,59
Tiimmy Turner,Desiigner,34
A Little More Summertime,Jason Aldean,52
Broken Halos,Chris Stapleton,93
Lights Down Low,MAX Featuring gnash,90
4:44,JAY-Z,35
Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,66
Trap Trap Trap,Rick Ross Featuring Young Thug & Wale,97
Something Just Like This,The Chainsmokers & Coldplay,3
Super Trapper,Future,91
Look Alive,Rae Sremmurd,72
That's My Girl,Fifth Harmony,73
For Real,Lil Uzi Vert,82
PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,77
Side To Side,Ariana Grande Featuring Nicki Minaj,4
Alone,Marshmello,60
I Got The Keys,DJ Khaled Featuring Jay Z & Future,30
Untouchable,YoungBoy Never Broke Again,95
Shape Of You,Ed Sheeran,1
Water Under The Bridge,Adele,26
This Town,Niall Horan,20
Attention,Charlie Puth,67
Black Barbies,Nicki Minaj X Mike WiLL Made-It,65
Now Or Never,Halsey,17
Star Of The Show,Thomas Rhett,45
iSpy,KYLE Featuring Lil Yachty,4
1942 Flows,Meek Mill,83
Today,Brad Paisley,67
Offended,Meek Mill Featuring Young Thug & 21 Savage,70
When It Rains It Pours,Luke Combs,33
Rock On,Tucker Beathard,62
XXX.,Kendrick Lamar Featuring U2,33
The Difference,Meek Mill Featuring Quavo,84
It's Goin' Down,Descendants 2 Cast,77
Pray,Sam Smith,55
Gangsta,Kehlani,41
...Ready For It?,Taylor Swift,4
Like I Loved You,Brett Young,67
Too Hotty,"Quality Control Featuring Quavo, Takeoff & Offset",91
It Ain't Me,Kygo x Selena Gomez,10
Setting Fires,The Chainsmokers Featuring XYLO,71
Get It Together,Drake Featuring Jorja Smith & Black Coffee,45
The Greatest,Sia Featuring Kendrick Lamar,18
Stargirl Interlude,The Weeknd Featuring Lana Del Rey,61
Believer,Imagine Dragons,4
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,45
You're Welcome,Dwayne Johnson,65
Flatliner,Cole Swindell,56
CRZY,Kehlani,85
Attention,The Weeknd,67
That's What I Like,Bruno Mars,1
Glow,Drake Featuring Kanye West,54
Gucci Gang,Lil Pump,14
Smile,JAY-Z Featuring Gloria Carter,56
Green Light,Lorde,19
Signs,Drake,36
If I Told You,Darius Rucker,53
Not Nice,PARTYNEXTDOOR,82
Craving You,Thomas Rhett Featuring Maren Morris,39
Ordinary Life,The Weeknd,72
Jingle Bell Rock,Bobby Helms,29
Sneakin',Drake Featuring 21 Savage,28
All Time Low,Jon Bellion,16
For Whom The Bell Tolls,J. Cole,23
OTW,DJ Luke Nasty,71
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",15
Magnolia,Playboi Carti,29
Love On The Weekend,John Mayer,53
Feliz Navidad,Jose Feliciano,44
Slippery,Migos Featuring Gucci Mane,29
Homemade Dynamite,"Lorde Featuring Khalid, Post Malone & SZA",92
Ghost In This House,Lauren Duski,98
Setting The World On Fire,Kenny Chesney Featuring P!nk,29
Cash Me Outside (#CashMeOutside),DJ Suede The Remix God,72
Rolex,Ayo & Teo,20
Middle Of A Memory,Cole Swindell,46
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,29
Hallelujah,Pentatonix,59
Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert,76
Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico,20
OOOUUU,Young M.A,19
Seein' Red,Dustin Lynch,55
Used To This,Future Featuring Drake,14
Chantaje,Shakira Featuring Maluma,51
Love Me Now,John Legend,23
Famous,21 Savage,94
Transportin',Kodak Black,46
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2
Heavy,Linkin Park Featuring Kiiara,45
No Frauds,"Nicki Minaj, Drake & Lil Wayne",14
Humble.,Kendrick Lamar,1
I Got You,Bebe Rexha,43
Beibs In The Trap,Travis Scott,90
Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,40
Element.,Kendrick Lamar,16
Cranes In The Sky,Solange,74
Jocelyn Flores,XXXTentacion,31
Cool Girl,Tove Lo,84
Blem,Drake,38
Cold Water,Major Lazer Featuring Justin Bieber & MO,2
2U,David Guetta Featuring Justin Bieber,16
Supermarket Flowers,Ed Sheeran,75
Scared To Be Lonely,Martin Garrix & Dua Lipa,76
Kill Jay Z,JAY-Z,55
Call On Me,Starley,65
Heaven,Kane Brown,72
Down,Fifth Harmony Featuring Gucci Mane,42
Bad And Boujee,Migos Featuring Lil Uzi Vert,1
In Case You Didn't Know,Brett Young,19
Immortal,J. Cole,11
Bank Account,21 Savage,12
Every Little Thing,Carly Pearce,50
Issues,Julia Michaels,77
Think A Little Less,Michael Ray,54
Sex With Me,Rihanna,83
Say A',A Boogie Wit da Hoodie,75
Galway Girl,Ed Sheeran,53
Change,J. Cole,21
Losin Control,Russ,62
The Fighter,Keith Urban Featuring Carrie Underwood,38
Ride,twenty one pilots,5
Fast,Luke Bryan,58
What Lovers Do,Maroon 5 Featuring SZA,12
Young Dumb & Broke,Khalid,25
Stay,Zedd & Alessia Cara,7
Needed Me,Rihanna,7
Ain't My Fault,Zara Larsson,76
Too Good,Drake Featuring Rihanna,14
Sauce It Up,Lil Uzi Vert,49
Depression & Obsession,XXXTentacion,91
Pride.,Kendrick Lamar,37
Plain Jane,A$AP Ferg,55
For Free,DJ Khaled Featuring Drake,13
Love So Soft,Kelly Clarkson,57
Fetish,Selena Gomez Featuring Gucci Mane,27
All Eyez,The Game Featuring Jeremih,79
Home,gnash Featuring Johnny Yukon,76
Closer,The Chainsmokers Featuring Halsey,1
Losing Sleep,Chris Young,63
First Day Out,Tee Grizzley,61
Money On You,Chris Blue,66
Yah.,Kendrick Lamar,32
Ville Mentality,J. Cole,24
One Dance,Drake Featuring WizKid & Kyla,1
Secrets,The Weeknd,47
A Lonely Night,The Weeknd,69
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",20
Rent Money,Future,54
Vice,Miranda Lambert,47
Learn To Let Go,Kesha,97
Honest,The Chainsmokers,77
Send My Love (To Your New Lover),Adele,8
Duckworth.,Kendrick Lamar,63
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,46
Forever Country,"Artists Of Then, Now & Forever",21
DNA,BTS,67
Sidewalks,The Weeknd Featuring Kendrick Lamar,27
Tin Man,Miranda Lambert,75
I Get The Bag,Gucci Mane Featuring Migos,11
F**k Love,XXXTentacion Featuring Trippie Redd,41
I'll Name The Dogs,Blake Shelton,70
Either Way,Chris Stapleton,89
The Weekend,SZA,64
T-Shirt,Migos,19
Why You Always Hatin?,YG Featuring Drake & Kamaiyah,62
Panda,Desiigner,1
Some Kind Of Drug,G-Eazy Featuring Marc E. Bassy,97
Peter Pan,Kelsea Ballerini,35
Bad Things,Machine Gun Kelly x Camila Cabello,4
Feel It Still,Portugal. The Man,4
Shining,DJ Khaled Featuring Beyonce & JAY Z,57
Round Here Buzz,Eric Church,86
This Girl,Kungs vs Cookin' On 3 Burners,26
On The Regular,Meek Mill,75
Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,43
Bounce Back,Big Sean,6
Small Town Boy,Dustin Lynch,36
Yours If You Want It,Rascal Flatts,71
Luv,Tory Lanez,19
Perfect Illusion,Lady Gaga,15
Bad Liar,Selena Gomez,20
Light It Up,Luke Bryan,64
Bad Romance,Lady Gaga,2
Foldin Clothes,J. Cole,30
Passionfruit,Drake,8
Drinkin' Too Much,Sam Hunt,89
Dancing On My Own,Calum Scott,93
Redbone,Childish Gambino,12
False Prophets,J. Cole,54
First Time,Kygo & Ellie Goulding,67
What Do I Know?,Ed Sheeran,83
Good Drank,2 Chainz x Gucci Mane x Quavo,70
Perfect,Ed Sheeran,10
Do Re Mi,Blackbear,40
Culture,Migos Featuring DJ Khaled,93
Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis,95
Now & Later,Sage The Gemini,93
X,Lil Uzi Vert,81
No Heart,21 Savage & Metro Boomin,43
Everybody Dies In Their Nightmares,XXXTentacion,54
Questions,Chris Brown,84
Hometown Girl,Josh Turner,56
Rockin' Around The Christmas Tree,Brenda Lee,14
Cheap Thrills,Sia Featuring Sean Paul,1
Fix A Drink,Chris Janson,69
You Look Good,Lady Antebellum,59
You & Me,Marc E. Bassy Featuring G-Eazy,58
Rockstar,Post Malone Featuring 21 Savage,1
Most Girls,Hailee Steinfeld,58
Infinite,Eminem,97
Can't Stop The Feeling!,Justin Timberlake,1
Rollin,Calvin Harris Featuring Future & Khalid,62
Love.,Kendrick Lamar Featuring Zacari,18
Free Smoke,Drake,18
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,29
Whatever It Takes,Imagine Dragons,92
Cold,Maroon 5 Featuring Future,16
Malibu,Miley Cyrus,10
Lust For Life,Lana Del Rey Featuring The Weeknd,64
God.,Kendrick Lamar,58
Numb,Linkin Park,11
Me Enamore,Shakira,83
Red Opps,21 Savage,74
Sweet Creature,Harry Styles,93
"Mary, Did You Know?",Pentatonix,26
Bodak Yellow (Money Moves),Cardi B,1
If The Boot Fits,Granger Smith,80
Silence,Marshmello Featuring Khalid,42
Bon Appetit,Katy Perry Featuring Migos,59
Save Me,XXXTentacion,94
24K Magic,Bruno Mars,4
