SongTitle,Artist
Don't Let Me Down,The Chainsmokers Featuring Daya
Fancy,Drake Featuring T.I. & Swizz Beatz
Losing Sleep,Chris Young
Low Life,Future Featuring The Weeknd
Two,Lil Uzi Vert
I Do It,2 Chainz Featuring Drake & Lil Wayne
Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber Featuring Usher
I'm All Yours,Jay Sean Featuring Pitbull
Don't It,Billy Currington
Replay,Zendaya
Slow Hands,Niall Horan
Where Are U Now,Skrillex & Diplo With Justin Bieber
Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd
I Don't,Mariah Carey Featuring YG
Dancing Crazy,Miranda Cosgrove
Felt Good On My Lips,Tim McGraw
Somethin Tells Me,Bryson Tiller
Baggage Claim,Miranda Lambert
Give It All We Got Tonight,George Strait
I Love It,Icona Pop Featuring Charli XCX
Heartless,Dia Frampton
Don't Cry For Me Argentina (Lea Michele Version),Glee Cast
Neon Lights,Demi Lovato
I'm Gonna Love You Through It,Martina McBride
Closer To The Edge,Thirty Seconds To Mars
Hot Tottie,Usher Featuring Jay-Z
Ginza,J Balvin
Written In The Stars,Tinie Tempah Featuring Eric Turner
Love's Gonna Make It Alright,George Strait
Undefeated,A Boogie Wit da Hoodie Featuring 21 Savage
Livin' On A Prayer,Bon Jovi
Really Don't Care,Demi Lovato Featuring Cher Lloyd
Might Be,DJ Luke Nasty
Set You Free,3OH!3
Cruise,Florida Georgia Line Featuring Nelly
Jolene,Vicci Martinez
Sky Walker,Miguel Featuring Travis Scott
First Time,Kygo & Ellie Goulding
How Will I Know,Glee Cast
Somebody,Natalie La Rose Featuring Jeremih
What Ifs,Kane Brown Featuring Lauren Alaina
DONE.,The Band Perry
Heart Attack,Demi Lovato
Wonderland,Taylor Swift
Gonna Get This,Hannah Montana Featuring Iyaz
Come Away To The Water,Maroon 5 Featuring Rozzi Crane
Neon Light,Blake Shelton
Attention,The Weeknd
Begin Again,Taylor Swift
F**k Him He's A DJ,Ke$ha
Go Ahead And Break My Heart,Blake Shelton Featuring Gwen Stefani
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend
Lotus Flower Bomb,Wale Featuring Miguel
How Many Times,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean"
Tiimmy Turner,Desiigner
Locked Away,R. City Featuring Adam Levine
Enough Of No Love,Keyshia Cole Featuring Lil Wayne
Friends,Justin Bieber + BloodPop
Talk Dirty,Jason Derulo Featuring 2 Chainz
Feedback,Kanye West
B**** I'm Madonna,Madonna Featuring Nicki Minaj
Boy,Lee Brice
Deja Vu,J. Cole
The First Time Ever I Saw Your Face,Glee Cast
M.I.L.F. $,Fergie
What Kind Of Man,Florence + The Machine
Body And Soul,Tony Bennett & Amy Winehouse
International Love,Pitbull Featuring Chris Brown
Walking On Air,Katy Perry
100 Grandkids,Mac Miller
Mine,Taylor Swift
Love,Lana Del Rey
Ho Hey,The Lumineers
Stay The Night,James Blunt
Broken Halos,Chris Stapleton
Moonlight,JAY-Z
9,Drake
My House,Flo Rida
New Americana,Halsey
Beggin' On Your Knees,Victorious Cast Featuring Victoria Justice
Without Me,Fantasia Featuring Kelly Rowland & Missy Elliott
Sirens,Pearl Jam
A Thousand Years,Sawyer Fredericks
Cancer,twenty one pilots
I Choose You,Sara Bareilles
Get Me Some Of That,Thomas Rhett
Rough Water,Travie McCoy Featuring Jason Mraz
I Can't Make You Love Me,Josh Kaufman
Country Song,Seether
The Greatest,Sia Featuring Kendrick Lamar
The One That Got Away,Katy Perry
Home,Phillip Phillips
No Flockin,Kodak Black
Save Me,XXXTentacion
I'm Ready,AJR
Riptide,Vance Joy
Storm Warning,Hunter Hayes
Va Va Voom,Nicki Minaj
I Love This Life,LOCASH
On Top Of The World,Imagine Dragons
Cecilia And The Satellite,Andrew McMahon In The Wilderness
"Mary, Did You Know?",Pentatonix
5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen
Roman In Moscow,Nicki Minaj
Stand By You,Rachel Platten
Better With The Lights Off,New Boyz Featuring Chris Brown
Somewhere Else,Toby Keith
Sign Of The Times,Harry Styles
Birthday,Katy Perry
This Is How We Roll,Florida Georgia Line Featuring Luke Bryan
Rise Above 1,Reeve Carney Featuring Bono & The Edge
Jumpman,Drake & Future
To The World,"Kanye West, R. Kelly"
High By The Beach,Lana Del Rey
Bounce It,Juicy J Featuring Wale & Trey Songz
We Know The Way,Opetaia Foa'i & Lin-Manuel Miranda
Marvin Gaye,Charlie Puth Featuring Meghan Trainor
Where You Belong,The Weeknd
XXX.,Kendrick Lamar Featuring U2
Come Home,Faith Hill
Porn Star Dancing,My Darkest Days Featuring Zakk Wylde
The Phoenix,Fall Out Boy
Sugar,Robin Schulz Featuring Francesco Yates
First Of The Year (Equinox),Skrillex
Ayy Ladies,Travis Porter Featuring Tyga
For Whom The Bell Tolls,J. Cole
Somewhere In My Car,Keith Urban
Perfect,One Direction
Hustle Hard,Ace Hood
Childs Play,Drake
Like I Would,Zayn
We Found Love,Glee Cast
Comin Out Strong,Future Featuring The Weeknd
Love Drought,Beyonce
Say A',A Boogie Wit da Hoodie
John Doe,B.o.B Featuring Priscilla
Miss Movin' On,Fifth Harmony
Kiss,Glee Cast
The Race,Wiz Khalifa
I Can Only Imagine,David Guetta Featuring Chris Brown & Lil Wayne
All By Myself,Glee Cast
Think Of You,Chris Young Duet With Cassadee Pope
I Like It,Enrique Iglesias Featuring Pitbull
Left Hand Free,alt-J
Chinese Food,Alison Gold
Starving,Hailee Steinfeld & Grey Featuring Zedd
Can't Feel My Face,The Weeknd
No Pressure,Justin Bieber Featuring Big Sean
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston
Cannonball,Lea Michele
"Bon, Bon",Pitbull
Shotgun Rider,Tim McGraw
After Midnight,Blink-182
Bangarang,Skrillex Featuring Sirah
Sexy And I Know It,LMFAO
Make It Rain,Koryn Hawthorne
Element.,Kendrick Lamar
Southern Comfort Zone,Brad Paisley
Backroad Song,Granger Smith
Kill A Word,Eric Church Featuring Rhiannon Giddens
Snap Backs & Tattoos,Driicky Graham
Iridescent,Linkin Park
Liability,Lorde
Into You,Ariana Grande
Bang Bang Pow Pow,T-Pain Featuring Lil Wayne
Pound The Alarm,Nicki Minaj
Smoke Break,Carrie Underwood
Hit The Quan,iLoveMemphis
Somebody That I Used To Know,Glee Cast
Body Like A Back Road,Sam Hunt
I'm Flexin',T.I. Featuring Big K.R.I.T.
"Sit Still, Look Pretty",Daya
Sweet Annie,Zac Brown Band
Sacrifices,Big Sean Featuring Migos
Liv Tonight,Nelly Featuring Keri Hilson
You And I / You And I,Glee Cast
You're So Beautiful,Empire Cast Featuring Jussie Smollett & Yazz
Confident,Justin Bieber Featuring Chance The Rapper
Fairly Local,twenty one pilots
We Are Never Ever Getting Back Together,Taylor Swift
Whip My Hair,Willow
Sorry Not Sorry,Demi Lovato
Last Christmas,Wham!
7/11,Beyonce
All The Way Home,Tamar Braxton
Sex With Me,Rihanna
Dope,Tyga Featuring Rick Ross
Me And Your Mama,Childish Gambino
Did It On'em,Nicki Minaj
...Ready For It?,Taylor Swift
Ride,SoMo
Yolo,The Lonely Island Featuring Adam Levine & Kendrick Lamar
I Kissed A Girl,Glee Cast
Every Little Thing,Carly Pearce
To The Max,DJ Khaled Featuring Drake
From The Ground Up,Dan + Shay
Here's To Us,Glee Cast
We Went,Randy Houser
Who You Love,John Mayer Featuring Katy Perry
Love Sosa,Chief Keef
Reminder,The Weeknd
Strangers,Halsey Featuring Lauren Jauregui
Trouble,Iggy Azalea Featuring Jennifer Hudson
Homegrown,Zac Brown Band
Bad Liar,Selena Gomez
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
Tin Man,Miranda Lambert
What Do You Mean?,Justin Bieber
Bobby Bitch,Bobby Shmurda
Don't Mind,Kent Jones
#thatPOWER,will.i.am Featuring Justin Bieber
Lust For Life,Lana Del Rey Featuring The Weeknd
Slow Down,Selena Gomez
You Be Killin Em,Fabolous
My Baby's Got A Smile On Her Face,Craig Wayne Boyd
Both,Gucci Mane Featuring Drake
Ni**as in Paris,Jay Z Kanye West
Better Dig Two,The Band Perry
New God Flow,Pusha T Kanye West
Peek A Boo,Lil Yachty Featuring Migos
Rotten To The Core,"Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson"
Hold On,Alabama Shakes
Pom Poms,Jonas Brothers
As If We Never Said Goodbye,Glee Cast
Who Are You When I'm Not Looking,Blake Shelton
Play That Song,Train
Simple Man,Sawyer Fredericks
Worst Behavior,Drake
Tonight I'm Getting Over You,Carly Rae Jepsen Featuring Nicki Minaj
Carry On,fun.
How Country Feels,Randy Houser
The Cure,Lady Gaga
Bend Ova,Lil Jon Featuring Tyga
Formation,Beyonce
Here's To Never Growing Up,Avril Lavigne
Feel This Moment,Pitbull Featuring Christina Aguilera
Let Me Love You (Until You Learn To Love Yourself),Glee Cast
Digits,Young Thug
The Creep,The Lonely Island Featuring Nicki Minaj
We Found Love,Rihanna Featuring Calvin Harris
Die A Happy Man,Thomas Rhett
Craving You,Thomas Rhett Featuring Maren Morris
Crash And Burn,Thomas Rhett
Monster,Meek Mill
Crazy Girl,Eli Young Band
MegaMan,Lil Wayne
The Fox,Ylvis
Tennis Court,Lorde
Drifting,G-Eazy Featuring Chris Brown & Tory Lanez
Stronger (What Doesn't Kill You),Kelly Clarkson
The Breath You Take,George Strait
Club Can't Handle Me,Flo Rida Featuring David Guetta
Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele
4422,Drake Featuring Sampha
Pure Imagination,Glee Cast
Speak Now,Taylor Swift
Til It Happens To You,Lady Gaga
Tomorrow,Chris Young
I'm Into You,Jennifer Lopez Featuring Lil Wayne
Bottom Of The Bottle,Curren$Y Featuring August Alsina & Lil Wayne
Every Breath You Take,Hannah Huston
Yours If You Want It,Rascal Flatts
Only Girl (In The World),Rihanna
Light Up The World,Glee Cast
Only Time,Enya
Tik Tok,Glee Cast
Grammys,Drake Featuring Future
High,Big Sean Featuring Wiz Khalifa
The Old Rugged Cross,Craig Wayne Boyd
On My Own,Samantha Barks
Get Back Up,T.I. Featuring Chris Brown
Til My Last Day,Justin Moore
Mind Reader,Dustin Lynch
Fire N Gold,Bea Miller
Let It Be,Terry McDermott
Water,Ugly God
When We Were Young,Adele
How Many Drinks?,Miguel
King Of Anything,Sara Bareilles
In The Dark,Dev
Empire,Shakira
Wu-Tang Forever,Drake
Maybe It Was Memphis,Danielle Bradbery
Pretty Girl Rock,Keri Hilson
Good Good Night,Roscoe Dash
Turning Tables,Adele
I See You,Luke Bryan
Hotel,Kid Ink Featuring Chris Brown
All Over The Road,Easton Corbin
Georgia Clay,Josh Kelley
Old Man,Sawyer Fredericks
Jump Out The Face,Meek Mill Featuring Future
Silly Love Songs,Glee Cast
Bad For You,Meek Mill Featuring Nicki Minaj
The Story Of O.J.,JAY-Z
I Smile,Kirk Franklin
U Guessed It,OG Maco Featuring 2 Chainz
Cruisin' For A Bruisin',"Ross Lynch, Grace Phipps And Jason Evigan"
Roots,Imagine Dragons
Time Warp,Glee Cast
X,21 Savage & Metro Boomin Featuring Future
Here For A Good Time,George Strait
The End,Kings Of Leon
Blue Ain't Your Color,Keith Urban
Jealous,Nick Jonas
I Put A Spell On You,Annie Lennox
Hometown Girl,Josh Turner
What's My Name,China Anne McClain
Two Black Cadillacs,Carrie Underwood
Stars,Amanda Brown
I'm Sorry,Adam Wakefield
Summer,Calvin Harris
Live From The Gutter,Drake & Future
I'm The Only One,Glee Cast
Songbird,Glee Cast
Take Me Home,Cash Cash Featuring Bebe Rexha
Harlem Shake,Baauer
Heartbeat,The Fray
Lockjaw,French Montana Featuring Kodak Black
Why You Always Hatin?,YG Featuring Drake & Kamaiyah
State Of Grace,Taylor Swift
Angel Eyes,Love And Theft
4 AM,2 Chainz Featuring Travis Scott
Imitadora,Romeo Santos
Good Life,OneRepublic
Glory,Common & John Legend
Cold Water,Major Lazer Featuring Justin Bieber & MO
Hideaway,Kiesza
Come Over,Kenny Chesney
Cry,Cassadee Pope
About You,Trey Songz
No Favors,Big Sean Featuring Eminem
Marry The Night,Lady Gaga
Jar Of Hearts,Glee Cast
Ghosts That We Knew,Mumford & Sons
Just Like Fire,P!nk
Kill Jay Z,JAY-Z
Come And See Me,PARTYNEXTDOOR Featuring Drake
Miss Me,Drake Featuring Lil Wayne
Everyday We Lit,YFN Lucci Featuring PnB Rock
Sex Ain't Better Than Love,Trey Songz
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross"
Tattoo,Van Halen
Know No Better,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo"
Losing My Religion,Dia Frampton
God Gave Me You,Blake Shelton
On My Mind,Ellie Goulding
Watch Out,2 Chainz
Check,Young Thug
Mama's Song,Carrie Underwood
No Worries,Lil Wayne Featuring Detail
Nothing Without Love,Nate Ruess
Better Man,Little Big Town
Who's That Chick?,David Guetta Featuring Rihanna
Don't Quit,DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih
So In Love,Jill Scott Featuring Anthony Hamilton
For You,Keith Urban
Everybody,Logic
Forward,Beyonce Featuring James Blake
Raging Fire,Phillip Phillips
24K Magic,Bruno Mars
Flexicution,Logic
Lust.,Kendrick Lamar
Like Jesus Does,Eric Church
Love.,Kendrick Lamar Featuring Zacari
Love Done Gone,Billy Currington
Made Me,Snootie Wild Featuring K Camp
F**k That Check Up,Meek Mill Featuring Lil Uzi Vert
Beat It,Sean Kingston Featuring Chris Brown & Wiz Khalifa
Kyoto,Skrillex Featuring Sirah
Beautiful Now,Zedd Featuring Jon Bellion
Gonna Know We Were Here,Jason Aldean
Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals
Danza Kuduro,Don Omar & Lucenzo
Losers,The Weeknd Featuring Labrinth
Lonely Tonight,Blake Shelton Featuring Ashley Monroe
EW!,Jimmy Fallon Featuring will.i.am
Pusher Love Girl,Justin Timberlake
Flex (Ooh Ooh Ooh),Rich Homie Quan
Wait For A Minute,Tyga & Justin Bieber
Dust,Eli Young Band
A Light That Never Comes,Linkin Park X Steve Aoki
You Da One,Rihanna
Body Language,Kid Ink Featuring Usher & Tinashe
H.O.L.Y.,Florida Georgia Line
New Romantics,Taylor Swift
Barefoot Blue Jean Night,Jake Owen
Danny's Song,The Swon Brothers
Focus,Ariana Grande
All Over Me,Josh Turner
Who I Am With You,Chris Young
Scary Monsters And Nice Sprites,Skrillex
Fetish,Selena Gomez Featuring Gucci Mane
Blame,Calvin Harris Featuring John Newman
Ambition,Wale Featuring Meek Mill & Rick Ross
Words I Never Said,Lupe Fiasco Featuring Skylar Grey
Country Strong,Gwyneth Paltrow
Vice,Miranda Lambert
Chained To The Rhythm,Katy Perry Featuring Skip Marley
Grandpa (Tell Me 'Bout The Good Old Days),Danielle Bradbery
Work B**ch!,Britney Spears
Get Me Bodied,Beyonce
Its Every Night Sis,RiceGum Featuring Alissa Violet
I'm To Blame,Kip Moore
Hungry Like The Wolf / Rio,Glee Cast
She Don't Love You,Eric Paslay
Say It,Flume Featuring Tove Lo
Reality,Kenny Chesney
Afraid To Sleep,Vicci Martinez
Over You,Cassadee Pope
U.O.E.N.O.,Rocko Featuring Future & Rick Ross
She Doesn't Mind,Sean Paul
Buzzin',Mann
Fine China,Chris Brown
This Ole Boy,Craig Morgan
All Eyez,The Game Featuring Jeremih
Billie Jean,Michael Jackson
Creepin',Eric Church
Moves,Big Sean
"Gone, Gone, Gone",Phillip Phillips
Loco,Enrique Iglesias Featuring Romeo Santos
Mr. Wrong,Mary J. Blige Featuring Drake
Hell To The No,Glee Cast
Silence,Marshmello Featuring Khalid
DJ Got Us Fallin' In Love,Usher Featuring Pitbull
Don't Tell 'Em,Jeremih Featuring YG
No Sleep Leak,Lil Uzi Vert
Hi Bich,Bhad Bhabie
The Devil Is A Lie,Rick Ross Featuring Jay-Z
I Am The Champion,B.o.B
Say You Do,Dierks Bentley
Born This Way,Glee Cast
Plain Jane,A$AP Ferg
Hotline Bling,Drake
It's Time,Imagine Dragons
Crying On A Suitcase,Casey James
Messin' Around,Pitbull Featuring Enrique Iglesias
Dear John,Taylor Swift
Bank Account,21 Savage
Cut Her Off,KCamp Featuring 2 Chainz
Beneath Your Beautiful,Labrinth Featuring Emeli Sande
You're Welcome,Dwayne Johnson
Saturday,Rebecca Black & Dave Days
Budapest,George Ezra
Red Lights,Tiesto
Ooh La La,Britney Spears
Death Of A Bachelor,Panic! At The Disco
Rude,MAGIC!
Shining,DJ Khaled Featuring Beyonce & JAY Z
No Role Modelz,J. Cole
American Kids,Kenny Chesney
Unconditionally,Katy Perry
Turn The Night Up,Enrique Iglesias
Till I'm Gone,Tinie Tempah Featuring Wiz Khalifa
Survivor / I Will Survive,Glee Cast
Marry Me,Jason Derulo
Never Grow Up,Taylor Swift
Way Down We Go,Kaleo
We Are Young,fun. Featuring Janelle Monae
Chandelier,Sia
Kiss You,One Direction
I Met A Girl,William Michael Morgan
Talladega,Eric Church
Bartender,Lady Antebellum
Wild Child,Kenny Chesney With Grace Potter
What Doesn't Kill You (Stronger),Glee Cast
Far Away,Tyga Featuring Chris Richardson
Too Good,Drake Featuring Rihanna
You Are In Love,Taylor Swift
If I Lose Myself,OneRepublic
Cold,Maroon 5 Featuring Future
Bar At The End Of The World,Kenny Chesney
Our Kind Of Love,Lady Antebellum
Move That Doh,"Future Featuring Pharrell, Pusha T & Casino"
Haunted,Taylor Swift
Love On The Brain,Rihanna
Get Lucky,Daft Punk Featuring Pharrell Williams
Drink A Beer,Luke Bryan
"Me, Myself & I",G-Eazy x Bebe Rexha
Hallelujah,Lindsey Stirling
Over You,Miranda Lambert
Come Back Song,Darius Rucker
Hell Of A Night,Dustin Lynch
Domino,Jessie J
I Like How It Feels,Enrique Iglesias Featuring Pitbull & The WAV.s
Summer Sixteen,Drake
Country Nation,Brad Paisley
I Bet,Ciara
Gangsta,Kehlani
Beers Ago,Toby Keith
Survival,Eminem
Geronimo,Sheppard
Live For The Night,Krewella
Strip,Chris Brown Featuring Kevin K-MAC McCall
Bohemian Rhapsody,Panic! At The Disco
Can't Have Everything,Drake
Dance Again,Jennifer Lopez Featuring Pitbull
Blood.,Kendrick Lamar
California Gurls,Katy Perry Featuring Snoop Dogg
Freaks,French Montana Featuring Nicki Minaj
Radio,Darius Rucker
Wiggle,Jason Derulo Featuring Snoop Dogg
Supermarket Flowers,Ed Sheeran
Shake It Out,Florence + The Machine
In Case You Didn't Know,Brett Young
Pretending,Glee Cast
Paper Doll,John Mayer
Don't Let Me Be Lonely,The Band Perry
Stick Talk,Future
Act Right,Yo Gotti Featuring Jeezy & YG
"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
I'm Not Gonna Teach Your Boyfriend To Dance With You,Glee Cast
Wicked Games,The Weeknd
Like A Wrecking Ball,Eric Church
Crash My Party,Luke Bryan
Something Big,Shawn Mendes
My Way,Calvin Harris
Levels,Avicii
Raise Your Glass,Glee Cast
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B
Stay A Little Longer,Brothers Osborne
Police Dog Blues,Hugh Laurie
When I Get You Alone,Glee Cast
For Real,Lil Uzi Vert
Hall Of Fame,The Script Featuring will.i.am
I Almost Do,Taylor Swift
Springsteen,Eric Church
We Are Tonight,Billy Currington
Superman,Taylor Swift
Troublemaker,Olly Murs Featuring Flo Rida
Gucci Gucci,Kreayshawn
Lazarus,David Bowie
Conqueror,Empire Cast Featuring Estelle & Jussie Smollett
Anywhere With You,Jake Owen
Don't You Want Me,Glee Cast
A Little Party Never Killed Nobody (All We Got),"Fergie, Q-Tip & GoonRock"
Every Teardrop Is A Waterfall,Coldplay
Oh Sweet Lorraine,Green Shoe Studio Featuring Jacob Colgan & Fred Stobaugh
Girl Crush,Little Big Town
My Life,50 Cent Featuring Eminem & Adam Levine
It Don't Hurt Like It Used To,Billy Currington
Zero,Chris Brown
Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
Take Me To Church,Matt McAndrew
Still Here,Drake
Pretty Girls,Britney Spears & Iggy Azalea
Every Storm (Runs Out Of Rain),Gary Allan
I Can't Go For That / You Make My Dreams,Glee Cast
In The Night,The Weeknd
Sneakin',Drake Featuring 21 Savage
Get It Together,Drake Featuring Jorja Smith & Black Coffee
19 You + Me,Dan + Shay
Take It To The Head,"DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne"
Cat Daddy,Rej3ctz
Calling All The Monsters,China Anne McClain
Nasty Freestyle,T-Wayne
Rumour Has It,Adele
Fly Over States,Jason Aldean
Money Longer,Lil Uzi Vert
The Matrimony,Wale Featuring Usher
"John Cougar, John Deere, John 3:16",Keith Urban
Too Good At Goodbyes,Sam Smith
Price Tag,Xenia
Charged Up,Drake
Goosebumps,Travis Scott
See You Again,Carrie Underwood
Look What You Made Me Do,Taylor Swift
Scholarships,Drake & Future
Flashlight,Jessie J
I Like The Sound Of That,Rascal Flatts
Hold Up,Beyonce
Did It For The Girl,Greg Bates
Look At You,Big & Rich
Cop Car,Keith Urban
Strip Me,Natasha Bedingfield
Two Night Town,Jason Aldean
Stay,Florida Georgia Line
Don't Drop That Thun Thun!,The FiNATTiCZ
Somewhere,Glee Cast
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera
Climax,Usher
New Rules,Dua Lipa
Velvet,Chris Jamison
Brokenhearted,Karmin
Walk Thru,Rich Homie Quan Featuring Problem
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj
El Cerrito Place,Kenny Chesney
Powerful,Major Lazer Featuring Ellie Goulding & Tarrus Riley
Jack Sparrow,The Lonely Island Featuring Michael Bolton
Paradise,Coldplay
Lover Of The Light,Mumford & Sons
Adrenalina,Wisin Featuring Jennifer Lopez & Ricky Martin
Habits (Stay High),Tove Lo
Beautiful Life,Nick Fradiani
Take A Walk,Passion Pit
Round Here,Florida Georgia Line
Diced Pineapples,Rick Ross Featuring Wale & Drake
I Need Your Love,"Shaggy Featuring Mohombi, Faydee, Costi"
Iris,Sawyer Fredericks
Redemption,Drake
Gotta Lotta,2 Chainz Featuring Lil Wayne
Right Here,Justin Bieber Featuring Drake
Anything Could Happen,Ellie Goulding
F**k You! (Forget You),Cee Lo Green
Happy,Pharrell Williams
Motivation,Kelly Rowland Featuring Lil Wayne
Back To Back,Drake
Turn On The Radio,Reba
The Dance,Lauren Duski
Cool Kids,Echosmith
Ice Melts,Drake Featuring Young Thug
Lo Mejor De Mi Vida Eres Tu,Ricky Martin Featuring Natalia Jimenez
Vivir Mi Vida,Marc Anthony
I Love You This Big,Scotty McCreery
Taboo,Don Omar
Electric Body,A$AP Rocky Featuring ScHoolboy Q
Coming Home,Diddy - Dirty Money Featuring Skylar Grey
Beat This Summer,Brad Paisley
Kiss,Prince And The Revolution
Where You At,Jennifer Hudson
Bridge Over Troubled Water,Tessanne Chin
Dirt On My Boots,Jon Pardi
Dark Fantasy,"Kanye West Featuring Teyana Taylor, Nicki Minaj & Bon Iver"
Good Time,Owl City & Carly Rae Jepsen
Teenage Fever,Drake
Something New,Wiz Khalifa Featuring Ty Dolla $ign
The Moment I Knew,Taylor Swift
I Mean It,G-Eazy Featuring Remo
The Boys of Fall,Kenny Chesney
Do They Know It's Christmas? (2014),Band Aid 30
Thriller,Michael Jackson
Like A Cowboy,Randy Houser
iSpy,KYLE Featuring Lil Yachty
Moving To Mars,Coldplay
Dark Side,Kelly Clarkson
Misery,Maroon 5
Enchanted,Taylor Swift
Girl In A Country Song,Maddie & Tae
Boom Clap,Charli XCX
V. 3005,Childish Gambino
Ball,T.I. Featuring Lil Wayne
Dog Days Are Over,Florence + The Machine
Man Down,Rihanna
Pause,Pitbull
Studio,ScHoolboy Q Featuring BJ The Chicago Kid
Cough Syrup,Young The Giant
Versace,Migos
Wesley's Theory,Kendrick Lamar Featuring George Clinton & Thundercat
Uptown Funk!,Mark Ronson Featuring Bruno Mars
2U,David Guetta Featuring Justin Bieber
Let Me Love You,DJ Snake Featuring Justin Bieber
Crying In The Club,Camila Cabello
Feel.,Kendrick Lamar
Molly,"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall"
Rollin,Calvin Harris Featuring Future & Khalid
Rewind,Rascal Flatts
Somebody That I Used To Know,Christina Grimmie & Adam Levine
Blown Away,Carrie Underwood
Chocolate,The 1975
Waiting For The End,Linkin Park
My Old Man,Zac Brown Band
Lost In The Echo,Linkin Park
Fear.,Kendrick Lamar
Cheerleader,OMI
Just Gettin' Started,Jason Aldean
Later On,The Swon Brothers
Deuces,Chris Brown Featuring Tyga & Kevin McCall
Stereo Hearts,Gym Class Heroes Featuring Adam Levine
Fix A Drink,Chris Janson
Work Out,J. Cole
Own It,Drake
Unsteady,X Ambassadors
We Still In This B****,B.o.B Featuring T.I. & Juicy J
Swang,Rae Sremmurd
Crazy Kids,Ke$ha Featuring will.i.am Or Juicy J
Beg For It,Iggy Azalea Featuring M0
Hello Kitty,Avril Lavigne
Cannibal,Ke$ha
Monster,Imagine Dragons
Like I Can,Sam Smith
Rope,Foo Fighters
Love Make The World Go Round,Jennifer Lopez & Lin-Manuel Miranda
Redneck Crazy,Tyler Farr
Sugar,Maroon 5
The One That Got Away,Jake Owen
The Monster,Eminem Featuring Rihanna
P.Y.T. (Pretty Young Thing),Glee Cast
Hookah,Tyga Featuring Young Thug
Girl On Fire,Alicia Keys Featuring Nicki Minaj
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert
Birthday Song,2 Chainz Featuring Kanye West
The Big Bang,Katy Tiz
Baby Blue,Action Bronson Featuring Chance The Rapper
Bad,Glee Cast
Black Magic,Little Mix
Perplexing Pegasus,Rae Sremmurd
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks
Another Round,Fat Joe Featuring Chris Brown
Superheroes,The Script
Heaven,Kane Brown
Problem,Ariana Grande Featuring Iggy Azalea
Without You,Keith Urban
R.I.C.O.,Meek Mill Featuring Drake
Unusual,Trey Songz Featuring Drake
Last Christmas,Ariana Grande
I Will Always Love You,Glee Cast
Pumped Up Kicks,Foster The People
Bed Of Lies,Nicki Minaj Featuring Skylar Grey
Safe & Sound,Taylor Swift Featuring The Civil Wars
Bad B*tch,French Montana Featuring Jeremih
Leave Your Lover,Sam Smith
Tonight (Best You Ever Had),John Legend Featuring Ludacris
Bad At Love,Halsey
I Feel It Coming,The Weeknd Featuring Daft Punk
The Heart Part 4,Kendrick Lamar
In The Name Of Love,Martin Garrix & Bebe Rexha
Dreams,Glee Cast Featuring Kristin Chenoweth
T-Shirt,Thomas Rhett
Brand New,Ben Rector
Fly S**t Only,Future
Bottoms Up,Trey Songz Featuring Nicki Minaj
Bad Things,Machine Gun Kelly x Camila Cabello
When You're Young,3 Doors Down
Work,Iggy Azalea
All Of Me,John Legend
Ain't Worried About Nothin,French Montana
All We Know,The Chainsmokers Featuring Phoebe Ryan
So Good,B.o.B
You Look Like I Need A Drink,Justin Moore
Tuesday,I LOVE MAKONNEN Featuring Drake
What The Water Gave Me,Florence + The Machine
I Won,Future Featuring Kanye West
Closer,Tegan And Sara
Thank You,Estelle
Eraser,Ed Sheeran
Wake Up,Fetty Wap
Lost Without U,Chris Jamison & Adam Levine
I Knew You Were Trouble,Michelle Chamuel
Recovery,Justin Bieber
Don't Stop (Color On The Walls),Foster The People
1994,Jason Aldean
I Got You,Bebe Rexha
Baby Don't Lie,Gwen Stefani
All Of The Lights,Kanye West
La La La,Naughty Boy Featuring Sam Smith
We Owned The Night,Lady Antebellum
Be Real,Kid Ink Featuring DeJ Loaf
That's My Kind Of Night,Luke Bryan
Just A Kiss,Lady Antebellum
Wings,Little Mix
