SongTitle,Artist
Make Me (Cry),Noah Cyrus Featuring Labrinth
In The End,Linkin Park
Shaky Shaky,Daddy Yankee
Can't Have Everything,Drake
To The Max,DJ Khaled Featuring Drake
Swang,Rae Sremmurd
Heavy Heart,Meek Mill
Do Not Disturb,Drake
Play That Song,Train
A Guy With A Girl,Blake Shelton
Starboy,The Weeknd Featuring Daft Punk
Party,Chris Brown Featuring Usher & Gucci Mane
Everyday We Lit,YFN Lucci Featuring PnB Rock
Neighbors,J. Cole
Skepta Interlude,Drake
I Know Somebody,LOCASH
Parachute,Chris Stapleton
Deja Vu,J. Cole
No Such Thing As A Broken Heart,Old Dominion
Move,Luke Bryan
All The Pretty Girls,Kenny Chesney
Go Flex,Post Malone
I Could Use A Love Song,Maren Morris
No Limit,Usher Featuring Young Thug
No Promises,Cheat Codes Featuring Demi Lovato
Undefeated,A Boogie Wit da Hoodie Featuring 21 Savage
Guys My Age,Hey Violet
There's Nothing Holdin' Me Back,Shawn Mendes
Gyalchester,Drake
True Colors,The Weeknd
The Night We Met,Lord Huron
Black Beatles,Rae Sremmurd Featuring Gucci Mane
The Dance,Lauren Duski
Praying,Kesha
Blow Your Mind (Mwah),Dua Lipa
Me And Your Mama,Childish Gambino
You Was Right,Lil Uzi Vert
Mi Gente,J Balvin & Willy William Featuring Beyonce
The Cure,Lady Gaga
Look What You Made Me Do,Taylor Swift
In The Name Of Love,Martin Garrix & Bebe Rexha
Versace On The Floor,Bruno Mars
Jerika,Jake Paul & Erika Costell Featuring Uncle Kade
Weak,AJR
UnFazed,Lil Uzi Vert Featuring The Weeknd
How Not To,Dan + Shay
The One,The Chainsmokers
Sacrifices,Drake Featuring 2 Chainz & Young Thug
Love Galore,SZA Featuring Travis Scott
Tunnel Vision,Kodak Black
No Fear,DeJ Loaf
Get Low,Zedd & Liam Payne
The Heart Part 4,Kendrick Lamar
Its Every Night Sis,RiceGum Featuring Alissa Violet
Don't Let Me Down,The Chainsmokers Featuring Daya
Dusk Till Dawn,Zayn Featuring Sia
Beauty And The Beast,Ariana Grande & John Legend
Good Old Days,Macklemore Featuring Kesha
Portland,Drake Featuring Quavo & Travis Scott
Teenage Fever,Drake
Something New,Wiz Khalifa Featuring Ty Dolla $ign
No Favors,Big Sean Featuring Eminem
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt
HandClap,Fitz And The Tantrums
Sacrifices,Big Sean Featuring Migos
Way Down We Go,Kaleo
Lust.,Kendrick Lamar
Party Monster,The Weeknd
I'm Better,Missy Elliott Featuring Lamb
Speak To A Girl,Tim McGraw & Faith Hill
Hold Up,Beyonce
Friends,Justin Bieber + BloodPop
We Ball,Meek Mill Featuring Young Thug
Caroline,Amine
It's Everyday Bro,Jake Paul Featuring Team 10
Lockjaw,French Montana Featuring Kodak Black
Not Afraid Anymore,Halsey
Still Got Time,Zayn Featuring PARTYNEXTDOOR
KMT,Drake Featuring Giggs
Peek A Boo,Lil Yachty Featuring Migos
No Long Talk,Drake Featuring Giggs
Dirt On My Boots,Jon Pardi
Bad At Love,Halsey
The Story Of O.J.,JAY-Z
All We Know,The Chainsmokers Featuring Phoebe Ryan
Work From Home,Fifth Harmony Featuring Ty Dolla $ign
Hymn For The Weekend,Coldplay
Heathens,twenty one pilots
Escapate Conmigo,Wisin Featuring Ozuna
Human,Rag'n'Bone Man
No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz
Hearts Don't Break Around Here,Ed Sheeran
Deja Vu,Post Malone Featuring Justin Bieber
Chained To The Rhythm,Katy Perry Featuring Skip Marley
Hurricane,Luke Combs
Don't Get Too High,Bryson Tiller
Starving,Hailee Steinfeld & Grey Featuring Zedd
My Girl,Dylan Scott
Broccoli,D.R.A.M. Featuring Lil Yachty
Slide,Calvin Harris Featuring Frank Ocean & Migos
Reminder,The Weeknd
Woman,Kesha Featuring The Dap-Kings Horns
Since Way Back,Drake Featuring PARTYNEXTDOOR
Barcelona,Ed Sheeran
80s Mercedes,Maren Morris
Make Love,Gucci Mane & Nicki Minaj
Real Hitta,Plies Featuring Kodak Black
Kelly Price,Migos Featuring Travis Scott
Sky Walker,Miguel Featuring Travis Scott
Running Back,Wale Featuring Lil Wayne
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez
Caught Their Eyes,JAY-Z Featuring Frank Ocean
No Sleep Leak,Lil Uzi Vert
Capsize,Frenship & Emily Warren
First Day Out,Kodak Black
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross"
Eraser,Ed Sheeran
What's My Name,China Anne McClain
Goosebumps,Travis Scott
Heartache On The Dance Floor,Jon Pardi
Prblms,6LACK
Lose You,Drake
Black,Dierks Bentley
Nobody Else But You,Trey Songz
At Last,Sundance Head
On Everything,"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean"
A-YO,Lady Gaga
Happier,Ed Sheeran
Litty,Meek Mill Featuring Tory Lanez
Father Stretch My Hands Pt. 1,Kanye West
Wanna Be That Song,Brett Eldredge
Carry On,XXXTentacion
Hallelujah,Leonard Cohen
All I Want For Christmas Is You,Mariah Carey
Every Time I Hear That Song,Blake Shelton
Look At Me!,XXXTentacion
Know No Better,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo"
Hate U Love U,Olivia O'Brien
Cake,Flo Rida & 99 Percent
Faith,George Michael
Everyday,Ariana Grande Featuring Future
Subeme La Radio,"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul"
El Amante,Nicky Jam
How Far I'll Go,Alessia Cara
Location,Khalid
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko"
Met Gala,Gucci Mane Featuring Offset
Heatstroke,"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande"
It Don't Hurt Like It Used To,Billy Currington
Too Much To Ask,Niall Horan
F**k That Check Up,Meek Mill Featuring Lil Uzi Vert
Blue Notes,Meek Mill
Moonlight,JAY-Z
Everything 1K,Kodak Black
She's Mine Pt.1,J. Cole
My Old Man,Zac Brown Band
Bam,"JAY-Z Featuring Damian ""Jr. Gong"" Marely"
A Lie,French Montana Featuring The Weeknd & Max B
I Hate U I Love U,gnash Featuring Olivia O'Brien
XO TOUR Llif3,Lil Uzi Vert
Song For Another Time,Old Dominion
How Long,Charlie Puth
Mercy,Shawn Mendes
Congratulations,Post Malone Featuring Quavo
Money Longer,Lil Uzi Vert
No Flockin,Kodak Black
Kids,OneRepublic
Unforgettable,Thomas Rhett
The Race,Tay-K
Zoom,Future
Six Feet Under,The Weeknd
Into You,Ariana Grande
Blood.,Kendrick Lamar
Chanel,Frank Ocean
Just Hold On,Steve Aoki & Louis Tomlinson
1-800-273-8255,Logic Featuring Alessia Cara & Khalid
We Know The Way,Opetaia Foa'i & Lin-Manuel Miranda
Strip That Down,Liam Payne Featuring Quavo
Key To The Streets,YFN Lucci Featuring Migos & Trouble
What They Want,Russ
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black
Scars To Your Beautiful,Alessia Cara
Jorja Interlude,Drake
Roll In Peace,Kodak Black Featuring XXXTENTACION
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber
Slumber Party,Britney Spears Featuring Tinashe
Imitadora,Romeo Santos
New Man,Ed Sheeran
1 Night,Lil Yachty
Heroe Favorito,Romeo Santos
No Longer Friends,Bryson Tiller
THat Part,ScHoolboy Q Featuring Kanye West
Everybody Dies,J. Cole
Who Dat Boy,"Tyler, The Creator"
Sign Of The Times,Harry Styles
Hard Times,Paramore
Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign
Unsteady,X Ambassadors
All In My Head (Flex),Fifth Harmony Featuring Fetty Wap
Say It,Flume Featuring Tove Lo
Somebody Else Will,Justin Moore
Tiimmy Turner,Desiigner
A Little More Summertime,Jason Aldean
Broken Halos,Chris Stapleton
Lights Down Low,MAX Featuring gnash
4:44,JAY-Z
Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj
Trap Trap Trap,Rick Ross Featuring Young Thug & Wale
Something Just Like This,The Chainsmokers & Coldplay
Super Trapper,Future
Look Alive,Rae Sremmurd
That's My Girl,Fifth Harmony
For Real,Lil Uzi Vert
PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO
Side To Side,Ariana Grande Featuring Nicki Minaj
Alone,Marshmello
I Got The Keys,DJ Khaled Featuring Jay Z & Future
Untouchable,YoungBoy Never Broke Again
Shape Of You,Ed Sheeran
Water Under The Bridge,Adele
This Town,Niall Horan
Attention,Charlie Puth
Black Barbies,Nicki Minaj X Mike WiLL Made-It
Now Or Never,Halsey
Star Of The Show,Thomas Rhett
iSpy,KYLE Featuring Lil Yachty
1942 Flows,Meek Mill
Today,Brad Paisley
Offended,Meek Mill Featuring Young Thug & 21 Savage
When It Rains It Pours,Luke Combs
Rock On,Tucker Beathard
XXX.,Kendrick Lamar Featuring U2
The Difference,Meek Mill Featuring Quavo
It's Goin' Down,Descendants 2 Cast
Pray,Sam Smith
Gangsta,Kehlani
...Ready For It?,Taylor Swift
Like I Loved You,Brett Young
Too Hotty,"Quality Control Featuring Quavo, Takeoff & Offset"
It Ain't Me,Kygo x Selena Gomez
Setting Fires,The Chainsmokers Featuring XYLO
Get It Together,Drake Featuring Jorja Smith & Black Coffee
The Greatest,Sia Featuring Kendrick Lamar
Stargirl Interlude,The Weeknd Featuring Lana Del Rey
Believer,Imagine Dragons
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy
You're Welcome,Dwayne Johnson
Flatliner,Cole Swindell
CRZY,Kehlani
Attention,The Weeknd
That's What I Like,Bruno Mars
Glow,Drake Featuring Kanye West
Gucci Gang,Lil Pump
Smile,JAY-Z Featuring Gloria Carter
Green Light,Lorde
Signs,Drake
If I Told You,Darius Rucker
Not Nice,PARTYNEXTDOOR
Craving You,Thomas Rhett Featuring Maren Morris
Ordinary Life,The Weeknd
Jingle Bell Rock,Bobby Helms
Sneakin',Drake Featuring 21 Savage
All Time Low,Jon Bellion
For Whom The Bell Tolls,J. Cole
OTW,DJ Luke Nasty
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors"
Magnolia,Playboi Carti
Love On The Weekend,John Mayer
Feliz Navidad,Jose Feliciano
Slippery,Migos Featuring Gucci Mane
Homemade Dynamite,"Lorde Featuring Khalid, Post Malone & SZA"
Ghost In This House,Lauren Duski
Setting The World On Fire,Kenny Chesney Featuring P!nk
Cash Me Outside (#CashMeOutside),DJ Suede The Remix God
Rolex,Ayo & Teo
Middle Of A Memory,Cole Swindell
Chill Bill,Rob $tone Featuring J. Davi$ & Spooks
Hallelujah,Pentatonix
Wokeuplikethis*,Playboi Carti Featuring Lil Uzi Vert
Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico
OOOUUU,Young M.A
Seein' Red,Dustin Lynch
Used To This,Future Featuring Drake
Chantaje,Shakira Featuring Maluma
Love Me Now,John Legend
Famous,21 Savage
Transportin',Kodak Black
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift
Heavy,Linkin Park Featuring Kiiara
No Frauds,"Nicki Minaj, Drake & Lil Wayne"
Humble.,Kendrick Lamar
I Got You,Bebe Rexha
Beibs In The Trap,Travis Scott
Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals
Element.,Kendrick Lamar
Cranes In The Sky,Solange
Jocelyn Flores,XXXTentacion
Cool Girl,Tove Lo
Blem,Drake
Cold Water,Major Lazer Featuring Justin Bieber & MO
2U,David Guetta Featuring Justin Bieber
Supermarket Flowers,Ed Sheeran
Scared To Be Lonely,Martin Garrix & Dua Lipa
Kill Jay Z,JAY-Z
Call On Me,Starley
Heaven,Kane Brown
Down,Fifth Harmony Featuring Gucci Mane
Bad And Boujee,Migos Featuring Lil Uzi Vert
In Case You Didn't Know,Brett Young
Immortal,J. Cole
Bank Account,21 Savage
Every Little Thing,Carly Pearce
Issues,Julia Michaels
Think A Little Less,Michael Ray
Sex With Me,Rihanna
Say A',A Boogie Wit da Hoodie
Galway Girl,Ed Sheeran
Change,J. Cole
Losin Control,Russ
The Fighter,Keith Urban Featuring Carrie Underwood
Ride,twenty one pilots
Fast,Luke Bryan
What Lovers Do,Maroon 5 Featuring SZA
Young Dumb & Broke,Khalid
Stay,Zedd & Alessia Cara
Needed Me,Rihanna
Ain't My Fault,Zara Larsson
Too Good,Drake Featuring Rihanna
Sauce It Up,Lil Uzi Vert
Depression & Obsession,XXXTentacion
Pride.,Kendrick Lamar
Plain Jane,A$AP Ferg
For Free,DJ Khaled Featuring Drake
Love So Soft,Kelly Clarkson
Fetish,Selena Gomez Featuring Gucci Mane
All Eyez,The Game Featuring Jeremih
Home,gnash Featuring Johnny Yukon
Closer,The Chainsmokers Featuring Halsey
Losing Sleep,Chris Young
First Day Out,Tee Grizzley
Money On You,Chris Blue
Yah.,Kendrick Lamar
Ville Mentality,J. Cole
One Dance,Drake Featuring WizKid & Kyla
Secrets,The Weeknd
A Lonely Night,The Weeknd
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean"
Rent Money,Future
Vice,Miranda Lambert
Learn To Let Go,Kesha
Honest,The Chainsmokers
Send My Love (To Your New Lover),Adele
Duckworth.,Kendrick Lamar
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys
Forever Country,"Artists Of Then, Now & Forever"
DNA,BTS
Sidewalks,The Weeknd Featuring Kendrick Lamar
Tin Man,Miranda Lambert
I Get The Bag,Gucci Mane Featuring Migos
F**k Love,XXXTentacion Featuring Trippie Redd
I'll Name The Dogs,Blake Shelton
Either Way,Chris Stapleton
The Weekend,SZA
T-Shirt,Migos
Why You Always Hatin?,YG Featuring Drake & Kamaiyah
Panda,Desiigner
Some Kind Of Drug,G-Eazy Featuring Marc E. Bassy
Peter Pan,Kelsea Ballerini
Bad Things,Machine Gun Kelly x Camila Cabello
Feel It Still,Portugal. The Man
Shining,DJ Khaled Featuring Beyonce & JAY Z
Round Here Buzz,Eric Church
This Girl,Kungs vs Cookin' On 3 Burners
On The Regular,Meek Mill
Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo
Bounce Back,Big Sean
Small Town Boy,Dustin Lynch
Yours If You Want It,Rascal Flatts
Luv,Tory Lanez
Perfect Illusion,Lady Gaga
Bad Liar,Selena Gomez
Light It Up,Luke Bryan
Bad Romance,Lady Gaga
Foldin Clothes,J. Cole
Passionfruit,Drake
Drinkin' Too Much,Sam Hunt
Dancing On My Own,Calum Scott
Redbone,Childish Gambino
False Prophets,J. Cole
First Time,Kygo & Ellie Goulding
What Do I Know?,Ed Sheeran
Good Drank,2 Chainz x Gucci Mane x Quavo
Perfect,Ed Sheeran
Do Re Mi,Blackbear
Culture,Migos Featuring DJ Khaled
Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis
Now & Later,Sage The Gemini
X,Lil Uzi Vert
No Heart,21 Savage & Metro Boomin
Everybody Dies In Their Nightmares,XXXTentacion
Questions,Chris Brown
Hometown Girl,Josh Turner
Rockin' Around The Christmas Tree,Brenda Lee
Cheap Thrills,Sia Featuring Sean Paul
Fix A Drink,Chris Janson
You Look Good,Lady Antebellum
You & Me,Marc E. Bassy Featuring G-Eazy
Rockstar,Post Malone Featuring 21 Savage
Most Girls,Hailee Steinfeld
Infinite,Eminem
Can't Stop The Feeling!,Justin Timberlake
Rollin,Calvin Harris Featuring Future & Khalid
Love.,Kendrick Lamar Featuring Zacari
Free Smoke,Drake
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign
Whatever It Takes,Imagine Dragons
Cold,Maroon 5 Featuring Future
Malibu,Miley Cyrus
Lust For Life,Lana Del Rey Featuring The Weeknd
God.,Kendrick Lamar
Numb,Linkin Park
Me Enamore,Shakira
Red Opps,21 Savage
Sweet Creature,Harry Styles
"Mary, Did You Know?",Pentatonix
Bodak Yellow (Money Moves),Cardi B
If The Boot Fits,Granger Smith
Silence,Marshmello Featuring Khalid
Bon Appetit,Katy Perry Featuring Migos
Save Me,XXXTentacion
24K Magic,Bruno Mars
