Title,Artist,Rank,Weeks,PeakPos,Date
Rockstar,Post Malone Featuring 21 Savage,1,6,1,2017-10-26
Bodak Yellow (Money Moves),Cardi B,2,17,1,2017-10-26
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3,26,3,2017-10-26
Look What You Made Me Do,Taylor Swift,4,10,1,2017-10-26
Feel It Still,Portugal. The Man,5,19,4,2017-10-26
Mi Gente,J Balvin & Willy William Featuring Beyonce,6,17,3,2017-10-26
Too Good At Goodbyes,Sam Smith,7,7,5,2017-10-26
Thunder,Imagine Dragons,8,26,5,2017-10-26
Sorry Not Sorry,Demi Lovato,9,16,6,2017-10-26
Unforgettable,French Montana Featuring Swae Lee,10,29,3,2017-10-26
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,11,41,1,2017-10-26
Attention,Charlie Puth,12,27,5,2017-10-26
Believer,Imagine Dragons,13,38,4,2017-10-26
Bank Account,21 Savage,14,16,12,2017-10-26
Rake It Up,Yo Gotti Featuring Nicki Minaj,15,17,8,2017-10-26
Strip That Down,Liam Payne Featuring Quavo,16,23,10,2017-10-26
What Lovers Do,Maroon 5 Featuring SZA,17,9,12,2017-10-26
Shape Of You,Ed Sheeran,18,42,1,2017-10-26
There's Nothing Holdin' Me Back,Shawn Mendes,19,27,6,2017-10-26
Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico,20,1,20,2017-10-26
Slow Hands,Niall Horan,21,26,11,2017-10-26
Perfect,Ed Sheeran,22,9,10,2017-10-26
What About Us,P!nk,23,12,13,2017-10-26
I Get The Bag,Gucci Mane Featuring Migos,24,10,11,2017-10-26
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,25,19,2,2017-10-26
Havana,Camila Cabello Featuring Young Thug,26,11,7,2017-10-26
What Ifs,Kane Brown Featuring Lauren Alaina,27,20,26,2017-10-26
Praying,Kesha,28,16,22,2017-10-26
Young Dumb & Broke,Khalid,29,15,25,2017-10-26
That's What I Like,Bruno Mars,30,41,1,2017-10-26
I Fall Apart,Post Malone,31,5,28,2017-10-26
Gucci Gang,Lil Pump,32,7,14,2017-10-26
Humble.,Kendrick Lamar,33,30,1,2017-10-26
Something Just Like This,The Chainsmokers & Coldplay,34,36,3,2017-10-26
XO TOUR Llif3,Lil Uzi Vert,35,31,7,2017-10-26
Love Galore,SZA Featuring Travis Scott,36,20,32,2017-10-26
Congratulations,Post Malone Featuring Quavo,37,44,8,2017-10-26
Body Like A Back Road,Sam Hunt,38,39,6,2017-10-26
When It Rains It Pours,Luke Combs,39,13,33,2017-10-26
Bad At Love,Halsey,40,8,31,2017-10-26
Location,Khalid,41,42,16,2017-10-26
Say You Won't Let Go,James Arthur,42,52,11,2017-10-26
No Promises,Cheat Codes Featuring Demi Lovato,43,23,38,2017-10-26
New Rules,Dua Lipa,44,13,34,2017-10-26
Do Re Mi,Blackbear,45,20,40,2017-10-26
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,46,18,45,2017-10-26
The Weekend,SZA,47,13,44,2017-10-26
Loyalty.,Kendrick Lamar Featuring Rihanna,48,26,14,2017-10-26
Unforgettable,Thomas Rhett,49,13,47,2017-10-26
Small Town Boy,Dustin Lynch,50,20,36,2017-10-26
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,51,7,30,2017-10-26
Butterfly Effect,Travis Scott,52,22,51,2017-10-26
...Ready For It?,Taylor Swift,53,8,4,2017-10-26
Silence,Marshmello Featuring Khalid,54,11,42,2017-10-26
Pray,Sam Smith,55,1,55,2017-10-26
The Race,Tay-K,56,12,44,2017-10-26
The Way Life Goes,Lil Uzi Vert,57,9,39,2017-10-26
Roll In Peace,Kodak Black Featuring XXXTENTACION,58,10,53,2017-10-26
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",59,7,54,2017-10-26
How Long,Charlie Puth,60,3,52,2017-10-26
Greatest Love Story,LANCO,61,8,51,2017-10-26
Jocelyn Flores,XXXTentacion,62,9,31,2017-10-26
Transportin',Kodak Black,63,10,46,2017-10-26
Glorious,Macklemore Featuring Skylar Grey,64,16,49,2017-10-26
Every Little Thing,Carly Pearce,65,13,50,2017-10-26
Relationship,Young Thug Featuring Future,66,10,65,2017-10-26
Heartache On The Dance Floor,Jon Pardi,67,17,47,2017-10-26
