SongTitle,Title,PeakPos
Tennessee Whiskey,Chris Stapleton,20
It Ain't My Fault,Brothers Osborne,79
New Man,Ed Sheeran,72
"I Love New York / New York, New York",Glee Cast,81
Yoga,Janelle Monae & Jidenna,79
As She's Walking Away,Zac Brown Band Featuring Alan Jackson,32
Drunk On Your Love,Brett Eldredge,35
Little More (Royalty),Chris Brown,91
Are You Gonna Kiss Me Or Not,Thompson Square,32
Back On Road,Gucci Mane & Drake,81
Distraction,Kehlani,85
HYFR (Hell Ya F*****g Right),Drake Featuring Lil Wayne,62
Carolina,Parmalee,36
How To Love,Lil Wayne,79
White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,15
Heroes (We Could Be),Alesso Featuring Tove Lo,31
Views,Drake,86
A Sky Full Of Stars,Coldplay,10
Hello World,Lady Antebellum,58
Cranes In The Sky,Solange,74
Prblms,6LACK,72
Super Bass,Nicki Minaj,3
Heartache On The Dance Floor,Jon Pardi,47
Wild Boy,MGK Featuring Waka Flocka Flame,98
Homeboy,Eric Church,53
It Won't Stop,Sevyn Streeter Featuring Chris Brown,30
Born This Way,Lady Gaga,44
H*A*M,Kanye West Jay Z,23
Bad,Wale Featuring Tiara Thomas Or Rihanna,80
F**k Love,XXXTentacion Featuring Trippie Redd,41
Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING,86
Roses,The Chainsmokers Featuring Rozes,6
Runnin' Outta Moonlight,Randy Houser,24
Without You,Glee Cast,52
The A Team,Ed Sheeran,16
She's Got A Way With Words,Blake Shelton,61
Dare (La La La),Shakira,53
West Coast,Lana Del Rey,17
I Don't Like,Chief Keef Featuring Lil Reese,73
Rockin' Around The Christmas Tree,Brenda Lee,14
Boyfriend,New Hollow,96
Santa Tell Me,Ariana Grande,42
Big Night,Big Time Rush,79
Boots,The Killers,79
Everybody Dies,J. Cole,57
Cooler Than Me,Mike Posner,6
Beer Money,Kip Moore,51
Tonight Looks Good On You,Jason Aldean,46
You And Your Friends,Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign,82
Runaway Baby,Bruno Mars,50
Let Me Love You,Ariana Grande Featuring Lil Wayne,99
Who I Am,Danielle Bradbery,78
Catch My Breath,Kelly Clarkson,19
Why Ya Wanna,Jana Kramer,50
With Them,Young Thug,87
Outta My Head,Craig Campbell,90
Fix You,Glee Cast,53
2 On,Tinashe Featuring ScHoolboy Q,24
This Is Gospel,Panic! At The Disco,87
Midnight City,M83.,72
Wake Me Up!,Avicii,4
Roman's Revenge,Nicki Minaj Featuring Eminem,56
Royals,Taylor John Williams,100
Promise,Kid Ink Featuring Fetty Wap,83
OTW,DJ Luke Nasty,71
Slow Motion,Trey Songz,26
Used To Love You Sober,Kane Brown,82
Red Opps,21 Savage,74
Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",8
Unforgettable,French Montana Featuring Swae Lee,47
Don't Let Me Down,The Chainsmokers Featuring Daya,3
Fancy,Drake Featuring T.I. & Swizz Beatz,25
Losing Sleep,Chris Young,63
Low Life,Future Featuring The Weeknd,18
Two,Lil Uzi Vert,80
I Do It,2 Chainz Featuring Drake & Lil Wayne,94
Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber Featuring Usher,58
I'm All Yours,Jay Sean Featuring Pitbull,85
Don't It,Billy Currington,44
Replay,Zendaya,40
Slow Hands,Niall Horan,11
Where Are U Now,Skrillex & Diplo With Justin Bieber,8
Blase,Ty Dolla $ign Featuring Future & Rae Sremmurd,63
I Don't,Mariah Carey Featuring YG,89
Dancing Crazy,Miranda Cosgrove,100
Felt Good On My Lips,Tim McGraw,26
Somethin Tells Me,Bryson Tiller,74
Baggage Claim,Miranda Lambert,44
Give It All We Got Tonight,George Strait,43
I Love It,Icona Pop Featuring Charli XCX,7
Heartless,Dia Frampton,57
Don't Cry For Me Argentina (Lea Michele Version),Glee Cast,97
Neon Lights,Demi Lovato,36
I'm Gonna Love You Through It,Martina McBride,61
Closer To The Edge,Thirty Seconds To Mars,99
Hot Tottie,Usher Featuring Jay-Z,21
Ginza,J Balvin,84
Written In The Stars,Tinie Tempah Featuring Eric Turner,12
Love's Gonna Make It Alright,George Strait,61
Undefeated,A Boogie Wit da Hoodie Featuring 21 Savage,90
Livin' On A Prayer,Bon Jovi,1
Really Don't Care,Demi Lovato Featuring Cher Lloyd,26
Might Be,DJ Luke Nasty,78
Set You Free,3OH!3,84
Cruise,Florida Georgia Line Featuring Nelly,4
Jolene,Vicci Martinez,76
Sky Walker,Miguel Featuring Travis Scott,80
First Time,Kygo & Ellie Goulding,67
How Will I Know,Glee Cast,65
Somebody,Natalie La Rose Featuring Jeremih,89
What Ifs,Kane Brown Featuring Lauren Alaina,26
DONE.,The Band Perry,43
Heart Attack,Demi Lovato,88
Wonderland,Taylor Swift,51
Gonna Get This,Hannah Montana Featuring Iyaz,66
Come Away To The Water,Maroon 5 Featuring Rozzi Crane,83
Neon Light,Blake Shelton,43
Attention,The Weeknd,67
Begin Again,Taylor Swift,7
F**k Him He's A DJ,Ke$ha,97
Go Ahead And Break My Heart,Blake Shelton Featuring Gwen Stefani,70
Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,8
Lotus Flower Bomb,Wale Featuring Miguel,38
How Many Times,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",68
Tiimmy Turner,Desiigner,34
Locked Away,R. City Featuring Adam Levine,6
Enough Of No Love,Keyshia Cole Featuring Lil Wayne,84
Friends,Justin Bieber + BloodPop,20
Talk Dirty,Jason Derulo Featuring 2 Chainz,3
Feedback,Kanye West,99
B**** I'm Madonna,Madonna Featuring Nicki Minaj,84
Boy,Lee Brice,94
Deja Vu,J. Cole,75
The First Time Ever I Saw Your Face,Glee Cast,70
M.I.L.F. $,Fergie,34
What Kind Of Man,Florence + The Machine,88
Body And Soul,Tony Bennett & Amy Winehouse,87
International Love,Pitbull Featuring Chris Brown,13
Walking On Air,Katy Perry,34
100 Grandkids,Mac Miller,100
Mine,Taylor Swift,82
Love,Lana Del Rey,44
Ho Hey,The Lumineers,3
Stay The Night,James Blunt,94
Broken Halos,Chris Stapleton,93
Moonlight,JAY-Z,86
9,Drake,45
My House,Flo Rida,4
New Americana,Halsey,60
Beggin' On Your Knees,Victorious Cast Featuring Victoria Justice,58
Without Me,Fantasia Featuring Kelly Rowland & Missy Elliott,74
Sirens,Pearl Jam,76
A Thousand Years,Sawyer Fredericks,94
Cancer,twenty one pilots,91
I Choose You,Sara Bareilles,81
Get Me Some Of That,Thomas Rhett,41
Rough Water,Travie McCoy Featuring Jason Mraz,82
I Can't Make You Love Me,Josh Kaufman,71
Country Song,Seether,72
The Greatest,Sia Featuring Kendrick Lamar,18
The One That Got Away,Katy Perry,51
Home,Phillip Phillips,76
No Flockin,Kodak Black,95
Save Me,XXXTentacion,94
I'm Ready,AJR,65
Riptide,Vance Joy,30
Storm Warning,Hunter Hayes,78
Va Va Voom,Nicki Minaj,22
I Love This Life,LOCASH,56
On Top Of The World,Imagine Dragons,79
Cecilia And The Satellite,Andrew McMahon In The Wilderness,96
"Mary, Did You Know?",Pentatonix,26
5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,10
Roman In Moscow,Nicki Minaj,64
Stand By You,Rachel Platten,37
Better With The Lights Off,New Boyz Featuring Chris Brown,38
Somewhere Else,Toby Keith,80
Sign Of The Times,Harry Styles,4
Birthday,Katy Perry,17
This Is How We Roll,Florida Georgia Line Featuring Luke Bryan,15
Rise Above 1,Reeve Carney Featuring Bono & The Edge,74
Jumpman,Drake & Future,12
To The World,"Kanye West, R. Kelly",70
High By The Beach,Lana Del Rey,51
Bounce It,Juicy J Featuring Wale & Trey Songz,74
We Know The Way,Opetaia Foa'i & Lin-Manuel Miranda,93
Marvin Gaye,Charlie Puth Featuring Meghan Trainor,21
Where You Belong,The Weeknd,95
XXX.,Kendrick Lamar Featuring U2,33
Come Home,Faith Hill,82
Porn Star Dancing,My Darkest Days Featuring Zakk Wylde,90
The Phoenix,Fall Out Boy,80
Sugar,Robin Schulz Featuring Francesco Yates,44
First Of The Year (Equinox),Skrillex,85
Ayy Ladies,Travis Porter Featuring Tyga,53
For Whom The Bell Tolls,J. Cole,23
Somewhere In My Car,Keith Urban,49
Perfect,One Direction,57
Hustle Hard,Ace Hood,60
Childs Play,Drake,49
Like I Would,Zayn,55
We Found Love,Glee Cast,56
Comin Out Strong,Future Featuring The Weeknd,48
Love Drought,Beyonce,47
Say A',A Boogie Wit da Hoodie,75
John Doe,B.o.B Featuring Priscilla,69
Miss Movin' On,Fifth Harmony,76
Kiss,Glee Cast,83
The Race,Wiz Khalifa,66
I Can Only Imagine,David Guetta Featuring Chris Brown & Lil Wayne,44
All By Myself,Glee Cast,87
Think Of You,Chris Young Duet With Cassadee Pope,40
I Like It,Enrique Iglesias Featuring Pitbull,4
Left Hand Free,alt-J,99
Chinese Food,Alison Gold,29
Starving,Hailee Steinfeld & Grey Featuring Zedd,12
Can't Feel My Face,The Weeknd,1
No Pressure,Justin Bieber Featuring Big Sean,49
I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,1
Cannonball,Lea Michele,75
"Bon, Bon",Pitbull,61
Shotgun Rider,Tim McGraw,38
After Midnight,Blink-182,88
Bangarang,Skrillex Featuring Sirah,72
Sexy And I Know It,LMFAO,81
Make It Rain,Koryn Hawthorne,92
Element.,Kendrick Lamar,16
Southern Comfort Zone,Brad Paisley,54
Backroad Song,Granger Smith,49
Kill A Word,Eric Church Featuring Rhiannon Giddens,71
Snap Backs & Tattoos,Driicky Graham,73
Iridescent,Linkin Park,81
Liability,Lorde,78
Into You,Ariana Grande,13
Bang Bang Pow Pow,T-Pain Featuring Lil Wayne,48
Pound The Alarm,Nicki Minaj,15
Smoke Break,Carrie Underwood,43
Hit The Quan,iLoveMemphis,15
Somebody That I Used To Know,Glee Cast,66
Body Like A Back Road,Sam Hunt,6
I'm Flexin',T.I. Featuring Big K.R.I.T.,66
"Sit Still, Look Pretty",Daya,28
Sweet Annie,Zac Brown Band,47
Sacrifices,Big Sean Featuring Migos,70
Liv Tonight,Nelly Featuring Keri Hilson,75
You And I / You And I,Glee Cast,69
You're So Beautiful,Empire Cast Featuring Jussie Smollett & Yazz,47
Confident,Justin Bieber Featuring Chance The Rapper,41
Fairly Local,twenty one pilots,84
We Are Never Ever Getting Back Together,Taylor Swift,1
Whip My Hair,Willow,11
Sorry Not Sorry,Demi Lovato,67
Last Christmas,Wham!,96
7/11,Beyonce,13
All The Way Home,Tamar Braxton,96
Sex With Me,Rihanna,83
Dope,Tyga Featuring Rick Ross,68
Me And Your Mama,Childish Gambino,68
Did It On'em,Nicki Minaj,49
...Ready For It?,Taylor Swift,4
Ride,SoMo,76
Yolo,The Lonely Island Featuring Adam Levine & Kendrick Lamar,60
I Kissed A Girl,Glee Cast,66
Every Little Thing,Carly Pearce,50
To The Max,DJ Khaled Featuring Drake,53
From The Ground Up,Dan + Shay,48
Here's To Us,Glee Cast,73
We Went,Randy Houser,60
Who You Love,John Mayer Featuring Katy Perry,48
Love Sosa,Chief Keef,56
Reminder,The Weeknd,31
Strangers,Halsey Featuring Lauren Jauregui,100
Trouble,Iggy Azalea Featuring Jennifer Hudson,67
Homegrown,Zac Brown Band,35
Bad Liar,Selena Gomez,20
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,1
Tin Man,Miranda Lambert,75
What Do You Mean?,Justin Bieber,1
Bobby Bitch,Bobby Shmurda,92
Don't Mind,Kent Jones,8
#thatPOWER,will.i.am Featuring Justin Bieber,17
Lust For Life,Lana Del Rey Featuring The Weeknd,64
Slow Down,Selena Gomez,27
You Be Killin Em,Fabolous,63
My Baby's Got A Smile On Her Face,Craig Wayne Boyd,34
Both,Gucci Mane Featuring Drake,41
Ni**as in Paris,Jay Z Kanye West,5
Better Dig Two,The Band Perry,28
New God Flow,Pusha T Kanye West,89
Peek A Boo,Lil Yachty Featuring Migos,78
Rotten To The Core,"Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson",38
Hold On,Alabama Shakes,93
Pom Poms,Jonas Brothers,60
As If We Never Said Goodbye,Glee Cast,80
Who Are You When I'm Not Looking,Blake Shelton,46
Play That Song,Train,41
Simple Man,Sawyer Fredericks,71
Worst Behavior,Drake,89
Tonight I'm Getting Over You,Carly Rae Jepsen Featuring Nicki Minaj,90
Carry On,fun.,95
How Country Feels,Randy Houser,42
The Cure,Lady Gaga,39
Bend Ova,Lil Jon Featuring Tyga,92
Formation,Beyonce,10
Here's To Never Growing Up,Avril Lavigne,20
Feel This Moment,Pitbull Featuring Christina Aguilera,8
Let Me Love You (Until You Learn To Love Yourself),Glee Cast,91
Digits,Young Thug,93
The Creep,The Lonely Island Featuring Nicki Minaj,82
We Found Love,Rihanna Featuring Calvin Harris,56
Die A Happy Man,Thomas Rhett,83
Craving You,Thomas Rhett Featuring Maren Morris,39
Crash And Burn,Thomas Rhett,36
Monster,Meek Mill,96
Crazy Girl,Eli Young Band,30
MegaMan,Lil Wayne,52
The Fox,Ylvis,6
Tennis Court,Lorde,71
Drifting,G-Eazy Featuring Chris Brown & Tory Lanez,98
Stronger (What Doesn't Kill You),Kelly Clarkson,1
The Breath You Take,George Strait,63
Club Can't Handle Me,Flo Rida Featuring David Guetta,9
Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,30
4422,Drake Featuring Sampha,50
Pure Imagination,Glee Cast,59
Speak Now,Taylor Swift,8
Til It Happens To You,Lady Gaga,95
Tomorrow,Chris Young,36
I'm Into You,Jennifer Lopez Featuring Lil Wayne,41
Bottom Of The Bottle,Curren$Y Featuring August Alsina & Lil Wayne,97
Every Breath You Take,Hannah Huston,94
Yours If You Want It,Rascal Flatts,71
Only Girl (In The World),Rihanna,1
Light Up The World,Glee Cast,33
Only Time,Enya,10
Tik Tok,Glee Cast,61
Grammys,Drake Featuring Future,38
High,Big Sean Featuring Wiz Khalifa,98
The Old Rugged Cross,Craig Wayne Boyd,59
On My Own,Samantha Barks,97
Get Back Up,T.I. Featuring Chris Brown,70
Til My Last Day,Justin Moore,51
Mind Reader,Dustin Lynch,57
Fire N Gold,Bea Miller,78
Let It Be,Terry McDermott,76
Water,Ugly God,80
When We Were Young,Adele,14
How Many Drinks?,Miguel,69
King Of Anything,Sara Bareilles,32
In The Dark,Dev,11
Empire,Shakira,58
Wu-Tang Forever,Drake,52
Maybe It Was Memphis,Danielle Bradbery,92
Pretty Girl Rock,Keri Hilson,24
Good Good Night,Roscoe Dash,91
Turning Tables,Adele,66
I See You,Luke Bryan,41
Hotel,Kid Ink Featuring Chris Brown,96
All Over The Road,Easton Corbin,51
Georgia Clay,Josh Kelley,87
Old Man,Sawyer Fredericks,63
Jump Out The Face,Meek Mill Featuring Future,91
Silly Love Songs,Glee Cast,45
Bad For You,Meek Mill Featuring Nicki Minaj,78
The Story Of O.J.,JAY-Z,23
I Smile,Kirk Franklin,85
U Guessed It,OG Maco Featuring 2 Chainz,90
Cruisin' For A Bruisin',"Ross Lynch, Grace Phipps And Jason Evigan",82
Roots,Imagine Dragons,77
Time Warp,Glee Cast,89
X,21 Savage & Metro Boomin Featuring Future,98
Here For A Good Time,George Strait,46
The End,Kings Of Leon,82
Blue Ain't Your Color,Keith Urban,24
Jealous,Nick Jonas,7
I Put A Spell On You,Annie Lennox,97
Hometown Girl,Josh Turner,56
What's My Name,China Anne McClain,61
Two Black Cadillacs,Carrie Underwood,41
Stars,Amanda Brown,97
I'm Sorry,Adam Wakefield,94
Summer,Calvin Harris,7
Live From The Gutter,Drake & Future,74
I'm The Only One,Glee Cast,86
Songbird,Glee Cast,68
Take Me Home,Cash Cash Featuring Bebe Rexha,57
Harlem Shake,Baauer,1
Heartbeat,The Fray,42
Lockjaw,French Montana Featuring Kodak Black,73
Why You Always Hatin?,YG Featuring Drake & Kamaiyah,62
State Of Grace,Taylor Swift,13
Angel Eyes,Love And Theft,32
4 AM,2 Chainz Featuring Travis Scott,81
Imitadora,Romeo Santos,91
Good Life,OneRepublic,59
Glory,Common & John Legend,49
Cold Water,Major Lazer Featuring Justin Bieber & MO,2
Hideaway,Kiesza,51
Come Over,Kenny Chesney,23
Cry,Cassadee Pope,60
About You,Trey Songz,83
No Favors,Big Sean Featuring Eminem,22
Marry The Night,Lady Gaga,29
Jar Of Hearts,Glee Cast,49
Ghosts That We Knew,Mumford & Sons,88
Just Like Fire,P!nk,10
Kill Jay Z,JAY-Z,55
Come And See Me,PARTYNEXTDOOR Featuring Drake,55
Miss Me,Drake Featuring Lil Wayne,15
Everyday We Lit,YFN Lucci Featuring PnB Rock,33
Sex Ain't Better Than Love,Trey Songz,80
Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",27
Tattoo,Van Halen,67
Know No Better,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",87
Losing My Religion,Dia Frampton,54
God Gave Me You,Blake Shelton,22
On My Mind,Ellie Goulding,13
Watch Out,2 Chainz,64
Check,Young Thug,100
Mama's Song,Carrie Underwood,56
No Worries,Lil Wayne Featuring Detail,29
Nothing Without Love,Nate Ruess,77
Better Man,Little Big Town,34
Who's That Chick?,David Guetta Featuring Rihanna,51
Don't Quit,DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih,68
So In Love,Jill Scott Featuring Anthony Hamilton,97
For You,Keith Urban,55
Everybody,Logic,59
Forward,Beyonce Featuring James Blake,63
Raging Fire,Phillip Phillips,58
24K Magic,Bruno Mars,4
Flexicution,Logic,100
Lust.,Kendrick Lamar,42
Like Jesus Does,Eric Church,59
Love.,Kendrick Lamar Featuring Zacari,18
Love Done Gone,Billy Currington,58
Made Me,Snootie Wild Featuring K Camp,93
F**k That Check Up,Meek Mill Featuring Lil Uzi Vert,97
Beat It,Sean Kingston Featuring Chris Brown & Wiz Khalifa,52
Kyoto,Skrillex Featuring Sirah,74
Beautiful Now,Zedd Featuring Jon Bellion,64
Gonna Know We Were Here,Jason Aldean,54
Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,40
Danza Kuduro,Don Omar & Lucenzo,82
Losers,The Weeknd Featuring Labrinth,85
Lonely Tonight,Blake Shelton Featuring Ashley Monroe,47
EW!,Jimmy Fallon Featuring will.i.am,26
Pusher Love Girl,Justin Timberlake,64
Flex (Ooh Ooh Ooh),Rich Homie Quan,26
Wait For A Minute,Tyga & Justin Bieber,68
Dust,Eli Young Band,79
A Light That Never Comes,Linkin Park X Steve Aoki,65
You Da One,Rihanna,14
Body Language,Kid Ink Featuring Usher & Tinashe,72
H.O.L.Y.,Florida Georgia Line,14
New Romantics,Taylor Swift,46
Barefoot Blue Jean Night,Jake Owen,21
Danny's Song,The Swon Brothers,66
Focus,Ariana Grande,7
All Over Me,Josh Turner,59
Who I Am With You,Chris Young,48
Scary Monsters And Nice Sprites,Skrillex,69
Fetish,Selena Gomez Featuring Gucci Mane,27
Blame,Calvin Harris Featuring John Newman,19
Ambition,Wale Featuring Meek Mill & Rick Ross,81
Words I Never Said,Lupe Fiasco Featuring Skylar Grey,89
Country Strong,Gwyneth Paltrow,81
Vice,Miranda Lambert,47
Chained To The Rhythm,Katy Perry Featuring Skip Marley,4
Grandpa (Tell Me 'Bout The Good Old Days),Danielle Bradbery,89
Work B**ch!,Britney Spears,12
Get Me Bodied,Beyonce,46
Its Every Night Sis,RiceGum Featuring Alissa Violet,80
I'm To Blame,Kip Moore,100
Hungry Like The Wolf / Rio,Glee Cast,98
She Don't Love You,Eric Paslay,77
Say It,Flume Featuring Tove Lo,60
Reality,Kenny Chesney,62
Afraid To Sleep,Vicci Martinez,78
Over You,Cassadee Pope,35
U.O.E.N.O.,Rocko Featuring Future & Rick Ross,20
She Doesn't Mind,Sean Paul,78
Buzzin',Mann,61
Fine China,Chris Brown,31
This Ole Boy,Craig Morgan,87
All Eyez,The Game Featuring Jeremih,79
Billie Jean,Michael Jackson,1
Creepin',Eric Church,56
Moves,Big Sean,38
"Gone, Gone, Gone",Phillip Phillips,24
Loco,Enrique Iglesias Featuring Romeo Santos,80
Mr. Wrong,Mary J. Blige Featuring Drake,87
Hell To The No,Glee Cast,53
Silence,Marshmello Featuring Khalid,42
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,4
Don't Tell 'Em,Jeremih Featuring YG,6
No Sleep Leak,Lil Uzi Vert,90
Hi Bich,Bhad Bhabie,68
The Devil Is A Lie,Rick Ross Featuring Jay-Z,86
I Am The Champion,B.o.B,85
Say You Do,Dierks Bentley,52
Born This Way,Glee Cast,44
Plain Jane,A$AP Ferg,55
Hotline Bling,Drake,2
It's Time,Imagine Dragons,95
Crying On A Suitcase,Casey James,88
Messin' Around,Pitbull Featuring Enrique Iglesias,64
Dear John,Taylor Swift,54
Bank Account,21 Savage,12
Cut Her Off,KCamp Featuring 2 Chainz,49
Beneath Your Beautiful,Labrinth Featuring Emeli Sande,34
You're Welcome,Dwayne Johnson,65
Saturday,Rebecca Black & Dave Days,55
Budapest,George Ezra,32
Red Lights,Tiesto,56
Ooh La La,Britney Spears,54
Death Of A Bachelor,Panic! At The Disco,92
Rude,MAGIC!,1
Shining,DJ Khaled Featuring Beyonce & JAY Z,57
No Role Modelz,J. Cole,36
American Kids,Kenny Chesney,23
Unconditionally,Katy Perry,14
Turn The Night Up,Enrique Iglesias,61
Till I'm Gone,Tinie Tempah Featuring Wiz Khalifa,90
Survivor / I Will Survive,Glee Cast,51
Marry Me,Jason Derulo,34
Never Grow Up,Taylor Swift,84
Way Down We Go,Kaleo,54
We Are Young,fun. Featuring Janelle Monae,12
Chandelier,Sia,8
Kiss You,One Direction,46
I Met A Girl,William Michael Morgan,60
Talladega,Eric Church,43
Bartender,Lady Antebellum,31
Wild Child,Kenny Chesney With Grace Potter,56
What Doesn't Kill You (Stronger),Glee Cast,66
Far Away,Tyga Featuring Chris Richardson,86
Too Good,Drake Featuring Rihanna,14
You Are In Love,Taylor Swift,83
If I Lose Myself,OneRepublic,74
Cold,Maroon 5 Featuring Future,16
Bar At The End Of The World,Kenny Chesney,92
Our Kind Of Love,Lady Antebellum,51
Move That Doh,"Future Featuring Pharrell, Pusha T & Casino",46
Haunted,Taylor Swift,63
Love On The Brain,Rihanna,5
Get Lucky,Daft Punk Featuring Pharrell Williams,2
Drink A Beer,Luke Bryan,31
"Me, Myself & I",G-Eazy x Bebe Rexha,7
Hallelujah,Lindsey Stirling,81
Over You,Miranda Lambert,35
Come Back Song,Darius Rucker,37
Hell Of A Night,Dustin Lynch,55
Domino,Jessie J,6
I Like How It Feels,Enrique Iglesias Featuring Pitbull & The WAV.s,74
Summer Sixteen,Drake,6
Country Nation,Brad Paisley,94
I Bet,Ciara,43
Gangsta,Kehlani,41
Beers Ago,Toby Keith,52
Survival,Eminem,16
Geronimo,Sheppard,53
Live For The Night,Krewella,100
Strip,Chris Brown Featuring Kevin K-MAC McCall,37
Bohemian Rhapsody,Panic! At The Disco,64
Can't Have Everything,Drake,82
Dance Again,Jennifer Lopez Featuring Pitbull,17
Blood.,Kendrick Lamar,54
California Gurls,Katy Perry Featuring Snoop Dogg,1
Freaks,French Montana Featuring Nicki Minaj,77
Radio,Darius Rucker,65
Wiggle,Jason Derulo Featuring Snoop Dogg,5
Supermarket Flowers,Ed Sheeran,75
Shake It Out,Florence + The Machine,72
In Case You Didn't Know,Brett Young,19
Pretending,Glee Cast,40
Paper Doll,John Mayer,77
Don't Let Me Be Lonely,The Band Perry,59
Stick Talk,Future,91
Act Right,Yo Gotti Featuring Jeezy & YG,100
"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,7
I'm Not Gonna Teach Your Boyfriend To Dance With You,Glee Cast,72
Wicked Games,The Weeknd,53
Like A Wrecking Ball,Eric Church,51
Crash My Party,Luke Bryan,18
Something Big,Shawn Mendes,80
My Way,Calvin Harris,24
Levels,Avicii,60
Raise Your Glass,Glee Cast,36
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,32
Stay A Little Longer,Brothers Osborne,46
Police Dog Blues,Hugh Laurie,58
When I Get You Alone,Glee Cast,47
For Real,Lil Uzi Vert,82
Hall Of Fame,The Script Featuring will.i.am,25
I Almost Do,Taylor Swift,65
Springsteen,Eric Church,19
We Are Tonight,Billy Currington,60
Superman,Taylor Swift,26
Troublemaker,Olly Murs Featuring Flo Rida,25
Gucci Gucci,Kreayshawn,57
Lazarus,David Bowie,40
Conqueror,Empire Cast Featuring Estelle & Jussie Smollett,42
Anywhere With You,Jake Owen,46
Don't You Want Me,Glee Cast,49
A Little Party Never Killed Nobody (All We Got),"Fergie, Q-Tip & GoonRock",77
Every Teardrop Is A Waterfall,Coldplay,14
Oh Sweet Lorraine,Green Shoe Studio Featuring Jacob Colgan & Fred Stobaugh,42
Girl Crush,Little Big Town,18
My Life,50 Cent Featuring Eminem & Adam Levine,27
It Don't Hurt Like It Used To,Billy Currington,44
Zero,Chris Brown,80
Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,12
Take Me To Church,Matt McAndrew,92
Still Here,Drake,40
Pretty Girls,Britney Spears & Iggy Azalea,43
Every Storm (Runs Out Of Rain),Gary Allan,26
I Can't Go For That / You Make My Dreams,Glee Cast,80
In The Night,The Weeknd,12
Sneakin',Drake Featuring 21 Savage,28
Get It Together,Drake Featuring Jorja Smith & Black Coffee,45
19 You + Me,Dan + Shay,42
Take It To The Head,"DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne",58
Cat Daddy,Rej3ctz,97
Calling All The Monsters,China Anne McClain,86
Nasty Freestyle,T-Wayne,9
Rumour Has It,Adele,16
Fly Over States,Jason Aldean,32
Money Longer,Lil Uzi Vert,54
The Matrimony,Wale Featuring Usher,70
"John Cougar, John Deere, John 3:16",Keith Urban,40
Too Good At Goodbyes,Sam Smith,5
Price Tag,Xenia,99
Charged Up,Drake,78
Goosebumps,Travis Scott,32
See You Again,Carrie Underwood,34
Look What You Made Me Do,Taylor Swift,1
Scholarships,Drake & Future,69
Flashlight,Jessie J,61
I Like The Sound Of That,Rascal Flatts,52
Hold Up,Beyonce,13
Did It For The Girl,Greg Bates,66
Look At You,Big & Rich,73
Cop Car,Keith Urban,41
Strip Me,Natasha Bedingfield,91
Two Night Town,Jason Aldean,76
Stay,Florida Georgia Line,28
Don't Drop That Thun Thun!,The FiNATTiCZ,35
Somewhere,Glee Cast,75
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,1
Climax,Usher,17
New Rules,Dua Lipa,34
Velvet,Chris Jamison,53
Brokenhearted,Karmin,16
Walk Thru,Rich Homie Quan Featuring Problem,74
All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,21
El Cerrito Place,Kenny Chesney,72
Powerful,Major Lazer Featuring Ellie Goulding & Tarrus Riley,83
Jack Sparrow,The Lonely Island Featuring Michael Bolton,69
Paradise,Coldplay,99
Lover Of The Light,Mumford & Sons,97
Adrenalina,Wisin Featuring Jennifer Lopez & Ricky Martin,94
Habits (Stay High),Tove Lo,3
Beautiful Life,Nick Fradiani,93
Take A Walk,Passion Pit,84
Round Here,Florida Georgia Line,28
Diced Pineapples,Rick Ross Featuring Wale & Drake,71
I Need Your Love,"Shaggy Featuring Mohombi, Faydee, Costi",66
Iris,Sawyer Fredericks,100
Redemption,Drake,61
Gotta Lotta,2 Chainz Featuring Lil Wayne,100
Right Here,Justin Bieber Featuring Drake,95
Anything Could Happen,Ellie Goulding,47
F**k You! (Forget You),Cee Lo Green,2
Happy,Pharrell Williams,1
Motivation,Kelly Rowland Featuring Lil Wayne,17
Back To Back,Drake,21
Turn On The Radio,Reba,53
The Dance,Lauren Duski,92
